,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Bay State Wind,113952,113952,198293.07112990884,130820.21422598176,198293.07112990884,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-12-03 21:00:00,2044-08-15 06:00:00,2044-08-15 06:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2037-01-01 00:00:00
1,1,Avangrid GoME 2,140256,140256,180571.4206686683,140256.0,180571.4206686683,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2042-08-07 20:00:00,2042-08-07 20:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
2,2,Invenergy NE Offshore Wind GoME 2,140256,140256,177770.07012851356,140256.0,177770.07012851356,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2042-04-13 03:00:00,2042-04-13 03:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
3,3,Invenergy NE Offshore Wind GoME 1,113952,113952,151297.97494429408,113952.0,151297.97494429408,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2039-04-06 02:00:00,2039-04-06 02:00:00,semisub,800,ME,salem,salem,1964.167782,False,2037-01-01 00:00:00
4,4,Avangrid GoME 1,113952,113952,147913.6397199433,113952.0,147913.6397199433,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2038-11-16 02:00:00,2038-11-16 02:00:00,semisub,800,MA,salem,salem,1785.604132,False,2037-01-01 00:00:00
5,5,Central Atlantic Lease Area C-1,122712,122712,144883.3058532433,127146.26117064866,144883.3058532433,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-07-03 19:00:00,2038-07-12 20:00:00,2038-07-12 20:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2038-01-01 00:00:00
6,6,Attentive Energy One,131496,131496,139904.18246730324,133177.63649346065,139904.18246730324,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-03-12 02:00:00,2037-12-17 09:00:00,2037-12-17 09:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2039-01-01 00:00:00
7,7,Attentive Energy Two,131496,131496,139236.36976272287,133044.07395254457,139236.36976272287,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-03-06 13:00:00,2037-11-19 13:00:00,2037-11-19 13:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2039-01-01 00:00:00
8,8,Central Atlantic Lease Area A-2,122712,122712,137314.34688202638,125632.46937640528,137314.34688202638,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-05-01 17:00:00,2037-08-31 11:00:00,2037-08-31 11:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2038-01-01 00:00:00
9,9,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,137004.97504867284,125570.59500973456,137004.97504867284,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-29 03:00:00,2037-08-18 13:00:00,2037-08-18 13:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
