,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,SouthCoast Wind 1 (Mayflower Wind) RI,122712,139164.97504867284,144412.69040504613,140214.5181199475,144412.69040504613,2036-01-01 00:00:00,2037-11-16 13:00:00,2037-12-30 07:00:00,2038-06-23 05:00:00,2038-06-23 05:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
1,1,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712.0,137004.97504867284,125570.59500973456,137004.97504867284,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-29 03:00:00,2037-08-18 13:00:00,2037-08-18 13:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
2,2,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,65595.96171488625,74385.78315649887,67353.92600320878,74385.78315649887,2028-01-01 00:00:00,2029-06-26 04:00:00,2029-09-07 10:00:00,2030-06-27 10:00:00,2030-06-27 10:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,1410.0,False,2030-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind South 1,61368,61368.0,74352.24616017118,63964.849232034234,74352.24616017118,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-04-19 05:00:00,2030-06-26 01:00:00,2030-06-26 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,True,2031-01-01 00:00:00
4,4,Empire Wind 2,52584,59709.70490060395,65595.96171488625,60886.956263460415,65595.96171488625,2028-01-01 00:00:00,2028-10-23 22:00:00,2028-12-11 23:00:00,2029-06-26 04:00:00,2029-06-26 04:00:00,monopile,40,NY,euro_fab,sbmt,621.0,False,2030-01-01 00:00:00
5,5,New England Wind 2 (Commonwealth Wind),52584,52584.0,59709.70490060395,54009.14098012079,59709.70490060395,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-02-29 10:00:00,2028-10-23 22:00:00,2028-10-23 22:00:00,monopile,40,MA,salem,salem,1232.0,False,2030-01-01 00:00:00
6,6,Sunrise Wind,26304,42568.630262526814,59708.393090128855,45996.58282804722,59708.393090128855,2025-01-01 00:00:00,2026-11-09 17:00:00,2027-04-01 13:00:00,2028-10-23 21:00:00,2028-10-23 21:00:00,monopile,40,NY,argentia,new_london,924.0,True,2027-01-01 00:00:00
7,7,MarWin (U.S. Wind Phase 1),43824,49542.00080198927,50753.116671988435,49784.2239759891,51047.08846943547,2027-01-01 00:00:00,2027-08-27 07:00:00,2027-09-06 09:00:00,2027-10-16 18:00:00,2027-10-29 00:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,300.0,False,2029-01-01 00:00:00
8,8,New England Wind 1 (Park City Wind),43824,46751.43958322005,49318.954601862955,47264.94258694864,49542.00080198927,2027-01-01 00:00:00,2027-05-03 00:00:00,2027-05-24 09:00:00,2027-08-17 23:00:00,2027-08-27 07:00:00,monopile,40,MA,salem,salem,791.0,False,2029-01-01 00:00:00
9,9,Empire Wind 1,26304,40408.630262526814,46751.43958322005,41677.19212666546,46751.43958322005,2025-01-01 00:00:00,2026-08-11 17:00:00,2026-10-03 14:00:00,2027-05-03 00:00:00,2027-05-03 00:00:00,monopile,40,NY,euro_fab,sbmt,810.0,False,2027-01-01 00:00:00
10,10,Revolution Wind 1 RI,17520,25795.586881686,40408.630262526814,28718.19555785416,40408.630262526814,2024-01-01 00:00:00,2024-12-10 20:00:00,2025-04-11 15:00:00,2026-08-11 17:00:00,2026-08-11 17:00:00,monopile,40,RI,argentia,new_london,400.0,False,2026-01-01 00:00:00
11,11,CVOW-C,17520,17520.0,34955.38421014817,21007.076842029634,34955.38421014817,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-05-25 08:00:00,2025-12-27 12:00:00,2025-12-27 12:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,2587.0,True,2026-01-01 00:00:00
12,12,Revolution Wind 1 CT,17520,17520.0,23635.586881686,18743.1173763372,23635.586881686,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-02-21 00:00:00,2024-09-11 20:00:00,2024-09-11 20:00:00,monopile,40,CT,argentia,new_london,304.0,False,2026-01-01 00:00:00
13,13,Vineyard Wind 1,8760,8760.0,17071.03004204337,10422.206008408673,17071.03004204337,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-03-11 07:00:00,2023-12-13 08:00:00,2023-12-13 08:00:00,monopile,40,MA,halifax,new_bedford,806.0,False,2025-01-01 00:00:00
14,14,South Fork,0,0.0,3378.4401056128418,675.6880211225684,3378.4401056128418,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-29 04:00:00,2022-05-21 19:00:00,2022-05-21 19:00:00,monopile,40,NY,euro_fab,new_london,132.0,False,2024-01-01 00:00:00
