,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical GoMe 3,140256,140256,178848.9206686683,140256.0,178848.9206686683,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2042-05-28 01:00:00,2042-05-28 01:00:00,semisub,800,ME,salem,salem,2062.0,False,2040-01-01 00:00:00
1,1,Hypothetical GoMe 4,140256,140256,172522.4206686683,140256.0,172522.4206686683,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2041-09-06 11:00:00,2041-09-06 11:00:00,semisub,800,ME,salem,salem,1716.0,False,2040-01-01 00:00:00
2,2,Hypothetical GoMe 1,131496,131496,171185.4206686683,131496.0,171185.4206686683,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2041-07-12 18:00:00,2041-07-12 18:00:00,semisub,800,ME,salem,salem,2143.0,False,2039-01-01 00:00:00
3,3,Hypothetical GoMe 2,131496,131496,166249.4206686683,131496.0,166249.4206686683,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2040-12-19 02:00:00,2040-12-19 02:00:00,semisub,800,ME,salem,salem,1866.0,False,2039-01-01 00:00:00
4,4,Avangrid GoME 2,122712,122712,163090.9206686683,122712.0,163090.9206686683,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-08-09 11:00:00,2040-08-09 11:00:00,semisub,800,ME,salem,salem,2171.528889,False,2038-01-01 00:00:00
5,5,Invenergy NE Offshore Wind GoME 2,122712,122712,160223.57012851356,122712.0,160223.57012851356,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-04-12 00:00:00,2040-04-12 00:00:00,semisub,800,MA,salem,salem,1992.965238,False,2038-01-01 00:00:00
6,6,Invenergy NE Offshore Wind GoME 1,113952,113952,151297.97494429408,113952.0,151297.97494429408,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2039-04-06 02:00:00,2039-04-06 02:00:00,semisub,800,ME,salem,salem,1964.167782,False,2037-01-01 00:00:00
7,7,Hpothetical Central Atlantic 1,140256,140256,148437.0520569939,141892.2104113988,148437.0520569939,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-03-10 05:00:00,2038-12-07 22:00:00,2038-12-07 22:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1000.0,True,2040-01-01 00:00:00
8,8,Avangrid GoME 1,113952,113952,147913.6397199433,113952.0,147913.6397199433,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2038-11-16 02:00:00,2038-11-16 02:00:00,semisub,800,MA,salem,salem,1785.604132,False,2037-01-01 00:00:00
9,9,Hypothetical NY Bight 2,131496,131496,137784.7170874123,132753.74341748247,137784.7170874123,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-02-22 10:00:00,2037-09-20 01:00:00,2037-09-20 01:00:00,monopile,40,NJ,euro_fab,sbmt,1000.0,False,2039-01-01 00:00:00
10,10,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,131623.8947987937,124494.37895975875,131623.8947987937,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-03-15 07:00:00,2037-01-06 08:00:00,2037-01-06 08:00:00,monopile,40,MA,paulsboro,new_bedford,1087.0,False,2038-01-01 00:00:00
11,11,Hypothetical NY Bight 1,122712,122712,128962.15946519098,123962.03189303819,128962.15946519098,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-22 03:00:00,2036-09-17 11:00:00,2036-09-17 11:00:00,monopile,40,NY,euro_fab,new_london,1000.0,False,2038-01-01 00:00:00
12,12,SouthCoast Wind 1 (Mayflower Wind) RI,122712,122712,126846.79843186142,123538.95968637228,126846.79843186142,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-04 11:00:00,2036-06-21 07:00:00,2036-06-21 07:00:00,monopile,40,RI,paulsboro,new_bedford,200.0,False,2038-01-01 00:00:00
13,13,Central Atlantic Lease Area C-1,96432,96432,118859.30585324334,100917.46117064866,118859.30585324334,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-07-06 22:00:00,2035-07-24 12:00:00,2035-07-24 12:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2035-01-01 00:00:00
14,14,Attentive Energy Two,105192,105192,118056.10238395853,107764.8204767917,118056.10238395853,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-18 05:00:00,2035-06-21 01:00:00,2035-06-21 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2036-01-01 00:00:00
15,15,Attentive Energy One,105192,105192,117034.98649647224,107560.59729929444,117034.98649647224,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-09 17:00:00,2035-05-09 11:00:00,2035-05-09 11:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2036-01-01 00:00:00
16,16,Central Atlantic Lease Area A-2,96432,96432,110983.3468820264,99342.26937640528,110983.3468820264,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-05-02 07:00:00,2034-08-30 08:00:00,2034-08-30 08:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2035-01-01 00:00:00
