,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy Two,149016,149016,156635.27703860597,150539.8554077212,156635.27703860597,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-03-05 12:00:00,2039-11-14 12:00:00,2039-11-14 12:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2041-01-01 00:00:00
1,1,Atlantic Shores Offshore Wind North,122712,122712,134863.03176539834,125142.20635307967,134863.03176539834,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-11 07:00:00,2037-05-21 08:00:00,2037-05-21 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2038-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,131623.8947987937,124494.37895975875,131623.8947987937,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-03-15 07:00:00,2037-01-06 08:00:00,2037-01-06 08:00:00,monopile,40,MA,paulsboro,new_bedford,1087.0,False,2038-01-01 00:00:00
3,3,SouthCoast Wind 1 (Mayflower Wind) RI,122712,122712,126846.79843186142,123538.95968637228,126846.79843186142,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-04 11:00:00,2036-06-21 07:00:00,2036-06-21 07:00:00,monopile,40,RI,paulsboro,new_bedford,200.0,False,2038-01-01 00:00:00
4,4,SouthCoast Wind Residual,113952,113952,125856.4611497802,116332.89222995604,125856.4611497802,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-04-10 05:00:00,2036-05-11 01:00:00,2036-05-11 01:00:00,monopile,40,MA,paulsboro,new_bedford,1113.0,False,2037-01-01 00:00:00
5,5,Kitty Hawk South,105192,105192,117765.16364729172,107706.63272945835,117765.16364729172,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-15 19:00:00,2035-06-08 22:00:00,2035-06-08 22:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,1350.7,True,2036-01-01 00:00:00
6,6,Atlantic Shores Offshore Wind South 2,105192,105192,112906.03854312933,106734.80770862587,112906.03854312933,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-03-06 07:00:00,2034-11-18 11:00:00,2034-11-18 11:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
7,7,Bay State Wind,87648,87648,109076.52032966577,91933.70406593315,109076.52032966577,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-06-27 14:00:00,2034-06-11 21:00:00,2034-06-11 21:00:00,monopile,40,RI,paulsboro,new_london,2344.3,False,2034-01-01 00:00:00
8,8,Beacon Wind 2,96432,96432,102659.51998899021,97677.50399779805,104934.99471731827,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-02-21 22:00:00,2033-09-17 12:00:00,2033-12-21 07:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
9,9,Garden State Offshore Energy I,96432,96432,102616.58099450123,97668.91619890025,102616.58099450123,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-02-21 13:00:00,2033-09-15 17:00:00,2033-09-15 17:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
