,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Avangrid GoME 2,140256,233069.18479275098,272649.10546141927,233069.18479275098,272649.10546141927,2038-01-01 00:00:00,2048-08-03 06:00:00,2048-08-03 06:00:00,2053-02-07 10:00:00,2053-02-07 10:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
1,1,Atlantic Shores Offshore Wind Bight,122712,244380.00886604513,252871.2447192208,246078.25603668025,259479.83072660276,2036-01-01 00:00:00,2049-11-17 13:00:00,2050-01-27 07:00:00,2050-11-06 08:00:00,2051-08-08 16:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
2,2,Bluepoint Wind,105192,233030.0486729246,236386.27406712668,233701.293751765,242220.00886604513,2034-01-01 00:00:00,2048-08-01 15:00:00,2048-08-29 14:00:00,2048-12-19 11:00:00,2049-08-19 13:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
3,3,Invenergy NE Offshore Wind GoME 2,140256,194802.6146642374,230909.18479275098,194802.6146642374,230909.18479275098,2038-01-01 00:00:00,2044-03-22 19:00:00,2044-03-22 19:00:00,2048-05-05 06:00:00,2048-05-05 06:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
4,4,Atlantic Shores Offshore Wind South 2,105192,222626.77155403013,225099.59770685385,223121.33678459487,230870.0486729246,2034-01-01 00:00:00,2047-05-26 03:00:00,2047-06-15 18:00:00,2047-09-06 04:00:00,2048-05-03 15:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
5,5,SouthCoast Wind 1 (Mayflower Wind) RI,122712,219493.06697106065,222626.77155403013,220119.80788765455,222626.77155403013,2036-01-01 00:00:00,2047-01-15 14:00:00,2047-02-10 16:00:00,2047-05-26 03:00:00,2047-05-26 03:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
6,6,Garden State Offshore Energy I,96432,214044.45970436063,215928.71229185144,214421.3102218588,219493.06697106065,2033-01-01 00:00:00,2046-06-02 13:00:00,2046-06-18 06:00:00,2046-08-20 01:00:00,2047-01-15 14:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
7,7,Excelsior Wind (Vineyard Mid-Atlantic),105192,198811.52413858718,214044.45970436063,201858.11125174188,214044.45970436063,2034-01-01 00:00:00,2044-09-05 20:00:00,2045-01-10 19:00:00,2046-06-02 13:00:00,2046-06-02 13:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
8,8,Leading Light Wind,70128,184865.6701891188,191490.4449270018,186190.6251366954,198811.52413858718,2030-01-01 00:00:00,2043-02-02 18:00:00,2043-03-29 23:00:00,2043-11-05 19:00:00,2044-09-05 20:00:00,monopile,40,NJ,njwp_1,njwp_1,2400.0,False,2032-01-01 00:00:00
9,9,Avangrid GoME 1,131496,160534.97494429408,192642.6146642374,160534.97494429408,192642.6146642374,2037-01-01 00:00:00,2040-04-24 23:00:00,2040-04-24 23:00:00,2043-12-23 19:00:00,2043-12-23 19:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
