,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Avangrid GoME 2,140256,140256,179464.9206686683,140256.0,179464.9206686683,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2042-06-22 17:00:00,2042-06-22 17:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
1,1,Invenergy NE Offshore Wind GoME 2,140256,140256,176551.57012851356,140256.0,176551.57012851356,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2042-02-21 08:00:00,2042-02-21 08:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
2,2,Avangrid GoME 1,131496,131496,163818.1397199433,131496.0,163818.1397199433,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2040-09-08 19:00:00,2040-09-08 19:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
3,3,Central Atlantic Lease Area C-1,140256,140256,155880.3818770689,143380.8763754138,162312.01250645128,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-05-11 05:00:00,2039-10-14 01:00:00,2040-07-08 01:00:00,monopile,40,NC,njwp_1,njwp_1,2857.164097,True,2040-01-01 00:00:00
4,4,Attentive Energy Two,149016,149016,156002.3803354857,150413.27606709715,158730.49186571606,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-02-28 06:00:00,2039-10-19 03:00:00,2040-02-09 19:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2041-01-01 00:00:00
5,5,Invenergy NE Offshore Wind GoME 1,122712,122712,158374.97494429408,122712.0,158374.97494429408,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-01-25 23:00:00,2040-01-25 23:00:00,semisub,800,ME,salem,salem,1964.167782,False,2038-01-01 00:00:00
6,6,Attentive Energy One,149016,149016,154480.41268960905,150108.8825379218,157013.98936938736,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-02-15 13:00:00,2039-08-16 17:00:00,2039-11-30 06:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
7,7,Central Atlantic Lease Area A-2,131496,131496,139383.14292689317,133073.42858537863,143125.32390893297,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-03-07 18:00:00,2037-11-25 16:00:00,2038-04-30 14:00:00,monopile,40,MD,njwp_1,njwp_1,1642.102476,True,2039-01-01 00:00:00
8,8,Atlantic Shores Offshore Wind Bight,122712,122712,130593.13688189471,124288.22737637894,137858.68028422183,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-03-06 17:00:00,2036-11-24 10:00:00,2037-09-23 03:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
9,9,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,128959.3320844721,123961.46641689441,129201.68836706669,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-22 02:00:00,2036-09-17 08:00:00,2036-09-27 10:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
