,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Avangrid GoME 2,140256,233069.18479275098,272649.10546141927,233069.18479275098,272649.10546141927,2038-01-01 00:00:00,2048-08-03 06:00:00,2048-08-03 06:00:00,2053-02-07 10:00:00,2053-02-07 10:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
1,1,Attentive Energy One,149016,253512.86354868946,259308.27623829854,254671.94608661128,261177.78548015113,2039-01-01 00:00:00,2050-12-03 01:00:00,2051-01-20 08:00:00,2051-08-01 13:00:00,2051-10-18 10:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) RI,122712,251848.99586233596,253389.70044530544,252157.13677892985,253512.86354868946,2036-01-01 00:00:00,2050-09-24 17:00:00,2050-10-07 14:00:00,2050-11-27 22:00:00,2050-12-03 01:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind Bight,122712,235644.48894632034,244940.12227212175,237503.61561148064,251848.99586233596,2036-01-01 00:00:00,2048-11-18 13:00:00,2049-02-04 00:00:00,2049-12-10 21:00:00,2050-09-24 17:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
4,4,SouthCoast Wind 1 (Mayflower Wind) MA,122712,229737.61554202565,234115.9476264977,230613.28195892007,235644.48894632034,2036-01-01 00:00:00,2048-03-17 10:00:00,2048-04-22 22:00:00,2048-09-15 20:00:00,2048-11-18 13:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
5,5,Invenergy NE Offshore Wind GoME 2,140256,194802.6146642374,230909.18479275098,194802.6146642374,230909.18479275098,2038-01-01 00:00:00,2044-03-22 19:00:00,2044-03-22 19:00:00,2048-05-05 06:00:00,2048-05-05 06:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
6,6,Bluepoint Wind,105192,220379.5324224081,224378.7616965319,221179.37827723287,229737.61554202565,2034-01-01 00:00:00,2047-02-21 12:00:00,2047-03-26 20:00:00,2047-08-07 03:00:00,2048-03-17 10:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
7,7,SouthCoast Wind Residual,113952,213976.04560459667,217689.37768906873,214718.71202149108,220379.5324224081,2035-01-01 00:00:00,2046-05-30 17:00:00,2046-06-30 15:00:00,2046-11-01 10:00:00,2047-02-21 12:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
8,8,Atlantic Shores Offshore Wind South 2,105192,205813.9832590984,208697.74185506388,206390.7349782915,213976.04560459667,2034-01-01 00:00:00,2045-06-24 14:00:00,2045-07-18 15:00:00,2045-10-22 18:00:00,2046-05-30 17:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
9,9,Excelsior Wind (Vineyard Mid-Atlantic),105192,192643.04769332492,205813.9832590984,195277.23480647962,205813.9832590984,2034-01-01 00:00:00,2043-12-23 20:00:00,2044-04-11 14:00:00,2045-06-24 14:00:00,2045-06-24 14:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
10,10,Garden State Offshore Energy I,96432,187291.78952739685,189095.2024749782,187652.47211691312,192643.04769332492,2033-01-01 00:00:00,2043-05-14 20:00:00,2043-05-29 21:00:00,2043-07-29 00:00:00,2043-12-23 20:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
11,11,Avangrid GoME 1,131496,160534.97494429408,192642.6146642374,160534.97494429408,192642.6146642374,2037-01-01 00:00:00,2040-04-24 23:00:00,2040-04-24 23:00:00,2043-12-23 19:00:00,2043-12-23 19:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
12,12,Community Offshore Wind,96432,170038.77508611474,180418.70644716697,172114.7613583252,187291.78952739685,2033-01-01 00:00:00,2041-05-25 23:00:00,2041-08-20 11:00:00,2042-08-01 11:00:00,2043-05-14 20:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
13,13,Attentive Energy Two,149016,172198.77508611474,179678.15542160042,173694.65115321186,182382.8669518308,2039-01-01 00:00:00,2041-08-23 23:00:00,2041-10-25 07:00:00,2042-07-01 15:00:00,2042-10-22 07:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2041-01-01 00:00:00
14,14,Leading Light Wind,70128,154635.63948617846,162710.88061328907,156250.6877116006,170038.77508611474,2030-01-01 00:00:00,2039-08-23 04:00:00,2039-10-29 11:00:00,2040-07-24 15:00:00,2041-05-25 23:00:00,monopile,40,NJ,njwp_1,njwp_1,2400.0,False,2032-01-01 00:00:00
15,15,Central Atlantic Lease Area C-1,140256,146033.27822081555,160969.88104079623,149020.59878481168,165749.80497641207,2038-01-01 00:00:00,2038-08-29 18:00:00,2039-01-01 05:00:00,2040-05-13 02:00:00,2040-11-28 06:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2040-01-01 00:00:00
16,16,Invenergy NE Offshore Wind GoME 1,122712,122712.0,158374.97494429408,122712.0,158374.97494429408,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-01-25 23:00:00,2040-01-25 23:00:00,semisub,800,ME,salem,salem,1964.167782,False,2038-01-01 00:00:00
17,17,Beacon Wind 2,96432,144810.01037792297,147258.3608255758,145299.68046745352,154635.63948617846,2033-01-01 00:00:00,2038-07-09 19:00:00,2038-07-30 04:00:00,2038-10-19 19:00:00,2039-08-23 04:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
18,18,Atlantic Shores Offshore Wind South 1,61368,136300.8615789964,139315.4375816912,136903.77677953537,144810.01037792297,2029-01-01 00:00:00,2037-07-20 05:00:00,2037-08-14 08:00:00,2037-11-22 20:00:00,2038-07-09 19:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,False,2031-01-01 00:00:00
19,19,Central Atlantic Lease Area A-2,131496,131496.0,139801.18163099868,133157.03632619974,143873.27822081555,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-03-11 06:00:00,2037-12-13 02:00:00,2038-05-31 18:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2039-01-01 00:00:00
20,20,Bay State Wind,87648,100249.20017817899,136300.8615789964,107459.53245834248,136300.8615789964,2032-01-01 00:00:00,2033-06-09 02:00:00,2034-04-05 12:00:00,2037-07-20 05:00:00,2037-07-20 05:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
21,21,TotalEnergies,87648,113352.39192657314,119360.69324689424,114554.05219063736,120887.95955799005,2032-01-01 00:00:00,2034-12-07 01:00:00,2035-01-26 03:00:00,2035-08-14 09:00:00,2035-10-17 00:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,889.0,True,2034-01-01 00:00:00
22,22,Ocean Wind 2,87648,103386.30765602688,110912.27646689855,104891.50141820121,113352.39192657314,2032-01-01 00:00:00,2033-10-17 19:00:00,2033-12-19 12:00:00,2034-08-27 09:00:00,2034-12-07 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1375.2,True,2034-01-01 00:00:00
23,23,CVOW-South (Kitty Hawk North),78888,98194.37097494912,101569.63320151898,98869.42342026309,103386.30765602688,2031-01-01 00:00:00,2033-03-15 11:00:00,2033-04-12 14:00:00,2033-08-03 02:00:00,2033-10-17 19:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,800.0,True,2033-01-01 00:00:00
24,24,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,91726.93518187311,96391.24009818124,92659.79616513473,100249.20017817899,2028-01-01 00:00:00,2032-06-18 23:00:00,2032-07-27 20:00:00,2032-12-30 08:00:00,2033-06-09 02:00:00,monopile,40,MD,tradepoint_1,njwp_1,1410.0,False,2030-01-01 00:00:00
25,25,Duke Energy/Cinergy,70128,88980.40235077262,93509.84480022942,89886.29084066398,96034.37097494912,2030-01-01 00:00:00,2032-02-25 13:00:00,2032-04-03 07:00:00,2032-09-01 06:00:00,2032-12-15 11:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,893.0,True,2032-01-01 00:00:00
26,26,Beacon Wind 1,70128,82150.75735797132,84176.85138385571,82555.9761631482,91726.93518187311,2030-01-01 00:00:00,2031-05-16 23:00:00,2031-06-02 20:00:00,2031-08-09 09:00:00,2032-06-18 23:00:00,monopile,40,NY,euro_fab,sbmt,1230.0,False,2032-01-01 00:00:00
