,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Avangrid GoME 2,140256,233069.18479275098,272649.10546141927,233069.18479275098,272649.10546141927,2038-01-01 00:00:00,2048-08-03 06:00:00,2048-08-03 06:00:00,2053-02-07 10:00:00,2053-02-07 10:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
1,1,Attentive Energy One,149016,253512.88286109673,259308.2955507058,254671.96539901855,261177.8047925584,2039-01-01 00:00:00,2050-12-03 01:00:00,2051-01-20 08:00:00,2051-08-01 13:00:00,2051-10-18 10:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) RI,122712,251849.2151747432,253388.9197577127,252157.1560913371,253512.88286109673,2036-01-01 00:00:00,2050-09-24 18:00:00,2050-10-07 14:00:00,2050-11-27 21:00:00,2050-12-03 01:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind Bight,122712,235644.7082587276,244940.341584529,237503.8349238879,251849.2151747432,2036-01-01 00:00:00,2048-11-18 13:00:00,2049-02-04 00:00:00,2049-12-10 21:00:00,2050-09-24 18:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
4,4,SouthCoast Wind 1 (Mayflower Wind) MA,122712,229737.8348544329,234116.16693890496,230613.50127132732,235644.7082587276,2036-01-01 00:00:00,2048-03-17 10:00:00,2048-04-22 22:00:00,2048-09-15 21:00:00,2048-11-18 13:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
5,5,Invenergy NE Offshore Wind GoME 2,140256,194802.6146642374,230909.18479275098,194802.6146642374,230909.18479275098,2038-01-01 00:00:00,2044-03-22 19:00:00,2044-03-22 19:00:00,2048-05-05 06:00:00,2048-05-05 06:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
6,6,Bluepoint Wind,105192,220379.75173481536,224378.98100893915,221179.59758964012,229737.8348544329,2034-01-01 00:00:00,2047-02-21 12:00:00,2047-03-26 20:00:00,2047-08-07 03:00:00,2048-03-17 10:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
7,7,SouthCoast Wind Residual,113952,213974.86491700393,217690.197001476,214717.93133389833,220379.75173481536,2035-01-01 00:00:00,2046-05-30 15:00:00,2046-06-30 14:00:00,2046-11-01 11:00:00,2047-02-21 12:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
8,8,Atlantic Shores Offshore Wind South 2,105192,205814.00257150567,208696.76116747115,206390.55429069875,213974.86491700393,2034-01-01 00:00:00,2045-06-24 15:00:00,2045-07-18 15:00:00,2045-10-22 17:00:00,2046-05-30 15:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
9,9,Excelsior Wind (Vineyard Mid-Atlantic),105192,192642.06700573218,205814.00257150567,195276.45411888688,205814.00257150567,2034-01-01 00:00:00,2043-12-23 19:00:00,2044-04-11 13:00:00,2045-06-24 15:00:00,2045-06-24 15:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
10,10,Avangrid GoME 1,131496,160534.97494429408,192642.6146642374,160534.97494429408,192642.6146642374,2037-01-01 00:00:00,2040-04-24 23:00:00,2040-04-24 23:00:00,2043-12-23 19:00:00,2043-12-23 19:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
11,11,Garden State Offshore Energy I,96432,187292.00883980413,189094.42178738548,187652.4914293204,192642.06700573218,2033-01-01 00:00:00,2043-05-14 21:00:00,2043-05-29 21:00:00,2043-07-28 23:00:00,2043-12-23 19:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
12,12,Community Offshore Wind,96432,170038.99439852202,180418.92575957425,172114.98067073248,187292.00883980413,2033-01-01 00:00:00,2041-05-25 23:00:00,2041-08-20 11:00:00,2042-08-01 11:00:00,2043-05-14 21:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
13,13,Attentive Energy Two,149016,172198.99439852202,179678.3747340077,173694.87046561914,182383.08626423808,2039-01-01 00:00:00,2041-08-23 23:00:00,2041-10-25 07:00:00,2042-07-01 15:00:00,2042-10-22 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2041-01-01 00:00:00
14,14,Leading Light Wind,70128,154635.85879858574,162711.09992569636,156250.90702400787,170038.99439852202,2030-01-01 00:00:00,2039-08-23 04:00:00,2039-10-29 11:00:00,2040-07-24 16:00:00,2041-05-25 23:00:00,monopile,40,NJ,njwp_1,njwp_1,2400.0,False,2032-01-01 00:00:00
15,15,Central Atlantic Lease Area C-1,140256,146033.27822081555,160969.88104079623,149020.59878481168,165749.80497641207,2038-01-01 00:00:00,2038-08-29 18:00:00,2039-01-01 05:00:00,2040-05-13 02:00:00,2040-11-28 06:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2040-01-01 00:00:00
16,16,Invenergy NE Offshore Wind GoME 1,122712,122712.0,158374.97494429408,122712.0,158374.97494429408,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-01-25 23:00:00,2040-01-25 23:00:00,semisub,800,ME,salem,salem,1964.167782,False,2038-01-01 00:00:00
17,17,Beacon Wind 2,96432,144809.02969033024,147258.38013798307,145298.8997798608,154635.85879858574,2033-01-01 00:00:00,2038-07-09 18:00:00,2038-07-30 03:00:00,2038-10-19 19:00:00,2039-08-23 04:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
18,18,Atlantic Shores Offshore Wind South 1,61368,136301.08089140366,139314.65689409844,136903.7960919426,144809.02969033024,2029-01-01 00:00:00,2037-07-20 06:00:00,2037-08-14 08:00:00,2037-11-22 19:00:00,2038-07-09 18:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,False,2031-01-01 00:00:00
19,19,Central Atlantic Lease Area A-2,131496,131496.0,139801.18163099868,133157.03632619974,143873.27822081555,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-03-11 06:00:00,2037-12-13 02:00:00,2038-05-31 18:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2039-01-01 00:00:00
20,20,Bay State Wind,87648,99863.41949058624,136301.08089140366,107150.95177074973,136301.08089140366,2032-01-01 00:00:00,2033-05-24 00:00:00,2034-03-23 15:00:00,2037-07-20 06:00:00,2037-07-20 06:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
21,21,TotalEnergies,87648,113094.2897187784,119360.5910390995,114347.54998284261,120792.4573501953,2032-01-01 00:00:00,2034-11-26 07:00:00,2035-01-17 12:00:00,2035-08-14 09:00:00,2035-10-13 01:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,889.0,True,2034-01-01 00:00:00
22,22,CVOW-South (Kitty Hawk North),78888,105269.95303770063,110327.21526427052,106281.4054830146,110934.2897187784,2031-01-01 00:00:00,2034-01-04 06:00:00,2034-02-15 10:00:00,2034-08-03 00:00:00,2034-08-28 07:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,800.0,True,2033-01-01 00:00:00
23,23,Ocean Wind 2,87648,95492.06876715437,102872.03757802605,96968.0625293287,105269.95303770063,2032-01-01 00:00:00,2032-11-22 21:00:00,2033-01-23 09:00:00,2033-09-26 09:00:00,2034-01-04 06:00:00,monopile,40,NJ,njwp_1,njwp_1,1375.2,True,2034-01-01 00:00:00
24,24,Vineyard Wind 2 (Vineyard Northeast) Residual,61368,96293.04756396747,99863.41949058624,97007.12194929122,99863.41949058624,2029-01-01 00:00:00,2032-12-26 06:00:00,2033-01-25 00:00:00,2033-05-24 00:00:00,2033-05-24 00:00:00,monopile,40,CT,halifax,new_bedford,120.0,False,2031-01-01 00:00:00
25,25,Beacon Wind 1,70128,85110.14414964187,90904.56295169987,86269.02791005347,96293.04756396747,2030-01-01 00:00:00,2031-09-17 07:00:00,2031-11-04 14:00:00,2032-05-15 17:00:00,2032-12-26 06:00:00,monopile,40,NY,euro_fab,sbmt,1230.0,False,2032-01-01 00:00:00
26,26,Duke Energy/Cinergy,70128,88433.70014297786,93510.14259243467,89448.98863286922,95492.06876715437,2030-01-01 00:00:00,2032-02-02 18:00:00,2032-03-16 01:00:00,2032-09-01 07:00:00,2032-11-22 21:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,893.0,True,2032-01-01 00:00:00
27,27,Atlantic Shores Offshore Wind North,78888,79538.68322355777,85576.29019670021,80746.20461818627,88433.70014297786,2031-01-01 00:00:00,2031-01-28 03:00:00,2031-03-19 11:00:00,2031-10-06 17:00:00,2032-02-02 18:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2033-01-01 00:00:00
28,28,Vineyard Wind 2 (Vineyard Northeast) MA,61368,81140.70273584654,84094.54603984361,81731.47139664595,85110.14414964187,2029-01-01 00:00:00,2031-04-04 21:00:00,2031-04-29 12:00:00,2031-08-05 23:00:00,2031-09-17 07:00:00,monopile,40,MA,halifax,new_bedford,800.0,False,2031-01-01 00:00:00
29,29,Maine Research Array,78888,78888.0,82442.46059902424,78888.0,82442.46059902424,2031-01-01 00:00:00,2031-01-01 00:00:00,2031-01-01 00:00:00,2031-05-29 03:00:00,2031-05-29 03:00:00,semisub,800,ME,salem,salem,144.0,False,2033-01-01 00:00:00
30,30,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,73056.4711557755,76619.22201980086,73769.02132858058,81140.70273584654,2028-01-01 00:00:00,2030-05-03 01:00:00,2030-06-01 18:00:00,2030-09-28 12:00:00,2031-04-04 21:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,1410.0,False,2030-01-01 00:00:00
31,31,Kitty Hawk South,61368,69831.24884020472,76973.04296571766,71259.60766530731,79538.68322355777,2029-01-01 00:00:00,2029-12-19 16:00:00,2030-02-17 04:00:00,2030-10-13 06:00:00,2031-01-28 03:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,1350.7,True,2031-01-01 00:00:00
32,32,Empire Wind 2,52584,67994.90191491615,73056.4711557755,69007.21576308802,73056.4711557755,2028-01-01 00:00:00,2029-10-04 03:00:00,2029-11-15 08:00:00,2030-05-03 01:00:00,2030-05-03 01:00:00,monopile,40,NY,euro_fab,sbmt,621.0,False,2030-01-01 00:00:00
33,33,Ocean Wind 1,61368,61368.0,67750.86449266657,62644.57289853331,69831.24884020472,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-02-23 05:00:00,2029-09-23 23:00:00,2029-12-19 16:00:00,monopile,40,NJ,njwp_1,njwp_1,1222.6,True,2031-01-01 00:00:00
34,34,Skipjack  2,43824,63861.76198452085,66533.29112257318,64396.06781213131,67994.90191491615,2027-01-01 00:00:00,2029-04-14 22:00:00,2029-05-07 05:00:00,2029-08-04 06:00:00,2029-10-04 03:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,846.0,False,2029-01-01 00:00:00
35,35,New England Wind 2 (Commonwealth Wind),52584,55896.45370754891,58040.88614156563,56325.340194352255,63861.76198452085,2028-01-01 00:00:00,2028-05-18 01:00:00,2028-06-04 22:00:00,2028-08-15 09:00:00,2029-04-14 22:00:00,monopile,40,MA,salem,salem,1232.0,False,2030-01-01 00:00:00
