,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy One,149016,319073.12791968876,323714.5474939436,320001.41183453973,323714.5474939436,2039-01-01 00:00:00,2058-05-26 18:00:00,2058-07-04 10:00:00,2058-12-06 03:00:00,2058-12-06 03:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
1,1,SouthCoast Wind 1 (Mayflower Wind) RI,122712,317864.97018553683,319073.12791968876,318106.60173236724,319073.12791968876,2036-01-01 00:00:00,2058-04-06 09:00:00,2058-04-16 11:00:00,2058-05-26 18:00:00,2058-05-26 18:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
2,2,Atlantic Shores Offshore Wind Bight,122712,309918.0812839351,317425.7386735854,311419.6127618652,317864.97018553683,2036-01-01 00:00:00,2057-05-10 07:00:00,2057-07-11 20:00:00,2058-03-19 02:00:00,2058-04-06 09:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
3,3,SouthCoast Wind 1 (Mayflower Wind) MA,122712,300760.22147970495,309918.0812839351,302591.793440551,309918.0812839351,2036-01-01 00:00:00,2056-04-23 17:00:00,2056-07-09 00:00:00,2057-05-10 07:00:00,2057-05-10 07:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
4,4,Bluepoint Wind,105192,292796.5395026142,297578.45745732746,293752.92309355683,300760.22147970495,2034-01-01 00:00:00,2055-05-27 21:00:00,2055-07-06 17:00:00,2055-12-13 03:00:00,2056-04-23 17:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
5,5,SouthCoast Wind Residual,113952,276634.390103078,292796.5395026142,279866.8199829852,292796.5395026142,2035-01-01 00:00:00,2053-07-23 11:00:00,2053-12-05 03:00:00,2055-05-27 21:00:00,2055-05-27 21:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
6,6,Avangrid GoME 2,140256,237258.68479275098,277928.60546141927,237258.68479275098,277928.60546141927,2038-01-01 00:00:00,2049-01-24 19:00:00,2049-01-24 19:00:00,2053-09-15 09:00:00,2053-09-15 09:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 2,105192,268800.572748838,276634.390103078,270367.33621968597,276634.390103078,2034-01-01 00:00:00,2052-08-31 01:00:00,2052-11-04 08:00:00,2053-07-23 11:00:00,2053-07-23 11:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
8,8,Excelsior Wind (Vineyard Mid-Atlantic),105192,246043.92592519498,268800.572748838,250595.25528992357,268800.572748838,2034-01-01 00:00:00,2050-01-25 20:00:00,2050-08-03 12:00:00,2052-08-31 01:00:00,2052-08-31 01:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
9,9,Garden State Offshore Energy I,96432,240727.91704902687,245149.05566574942,241612.1447723714,246043.92592519498,2033-01-01 00:00:00,2049-06-18 08:00:00,2049-07-25 05:00:00,2049-12-19 14:00:00,2050-01-25 20:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
10,10,Community Offshore Wind,96432,223566.20848087952,240727.91704902687,226998.55019450898,240727.91704902687,2033-01-01 00:00:00,2047-07-04 07:00:00,2047-11-24 07:00:00,2049-06-18 08:00:00,2049-06-18 08:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
11,11,Invenergy NE Offshore Wind GoME 2,140256,197546.6146642374,235098.68479275098,197546.6146642374,235098.68479275098,2038-01-01 00:00:00,2044-07-15 03:00:00,2044-07-15 03:00:00,2048-10-26 19:00:00,2048-10-26 19:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
12,12,Leading Light Wind,70128,208721.26987439394,223566.20848087952,211690.25759569104,223566.20848087952,2030-01-01 00:00:00,2045-10-23 18:00:00,2046-02-24 11:00:00,2047-07-04 07:00:00,2047-07-04 07:00:00,monopile,40,NJ,njwp_1,njwp_1,2400.0,False,2032-01-01 00:00:00
13,13,Beacon Wind 2,96432,200166.506873539,206947.17502557315,201522.64050394585,208721.26987439394,2033-01-01 00:00:00,2044-11-01 07:00:00,2044-12-27 19:00:00,2045-08-10 20:00:00,2045-10-23 18:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
14,14,Atlantic Shores Offshore Wind South 1,61368,191909.44376762002,200166.506873539,193560.8563888038,200166.506873539,2029-01-01 00:00:00,2043-11-23 06:00:00,2044-01-31 01:00:00,2044-11-01 07:00:00,2044-11-01 07:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,False,2031-01-01 00:00:00
15,15,Avangrid GoME 1,131496,161856.47494429408,195386.6146642374,161856.47494429408,195386.6146642374,2037-01-01 00:00:00,2040-06-19 01:00:00,2040-06-19 01:00:00,2044-04-16 03:00:00,2044-04-16 03:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
16,16,Bay State Wind,87648,101410.59382660064,191909.44376762002,119510.36381480453,191909.44376762002,2032-01-01 00:00:00,2033-07-27 11:00:00,2035-08-20 15:00:00,2043-11-23 06:00:00,2043-11-23 06:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
17,17,Attentive Energy Two,149016,169962.65273526972,179996.75511922818,171969.47321206142,179996.75511922818,2039-01-01 00:00:00,2041-05-22 19:00:00,2041-08-14 10:00:00,2042-07-14 21:00:00,2042-07-14 21:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2041-01-01 00:00:00
18,18,Central Atlantic Lease Area C-1,140256,148047.3468820264,169962.65273526972,152430.40805267508,169962.65273526972,2038-01-01 00:00:00,2038-11-21 16:00:00,2039-05-23 07:00:00,2041-05-22 19:00:00,2041-05-22 19:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2040-01-01 00:00:00
19,19,Invenergy NE Offshore Wind GoME 1,122712,122712.0,159696.47494429408,122712.0,159696.47494429408,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-03-21 01:00:00,2040-03-21 01:00:00,semisub,800,ME,salem,salem,1964.167782,False,2038-01-01 00:00:00
20,20,Central Atlantic Lease Area A-2,131496,131496.0,145887.3468820264,134374.26937640528,145887.3468820264,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-04-30 23:00:00,2038-08-23 16:00:00,2038-08-23 16:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2039-01-01 00:00:00
21,21,Ocean Wind 2,87648,120621.55320946686,130243.13707522485,122545.86998261846,130243.13707522485,2032-01-01 00:00:00,2035-10-05 22:00:00,2035-12-25 02:00:00,2036-11-09 20:00:00,2036-11-09 20:00:00,monopile,40,NJ,njwp_1,njwp_1,1375.2,True,2034-01-01 00:00:00
22,22,TotalEnergies,87648,111987.79955786394,120621.55320946686,113714.55028818452,120621.55320946686,2032-01-01 00:00:00,2034-10-11 04:00:00,2034-12-22 03:00:00,2035-10-05 22:00:00,2035-10-05 22:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,889.0,True,2034-01-01 00:00:00
23,23,Atlantic Shores Offshore Wind North,78888,102588.7677924656,111987.79955786394,104468.57414554527,111987.79955786394,2031-01-01 00:00:00,2033-09-14 13:00:00,2033-12-01 21:00:00,2034-10-11 04:00:00,2034-10-11 04:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2033-01-01 00:00:00
24,24,Vineyard Wind 2 (Vineyard Northeast) Residual,61368,100428.7677924656,101410.59382660064,100625.1329992926,101410.59382660064,2029-01-01 00:00:00,2033-06-16 13:00:00,2033-06-24 18:00:00,2033-07-27 11:00:00,2033-07-27 11:00:00,monopile,40,CT,halifax,new_bedford,120.0,False,2031-01-01 00:00:00
25,25,CVOW-South (Kitty Hawk North),78888,94249.86224730508,101261.09407901333,95652.10861364673,101261.09407901333,2031-01-01 00:00:00,2032-10-02 02:00:00,2032-11-29 13:00:00,2033-07-21 06:00:00,2033-07-21 06:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,800.0,True,2033-01-01 00:00:00
26,26,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,91660.87371640041,100395.25433023371,93407.74983916707,100428.7677924656,2028-01-01 00:00:00,2032-06-16 05:00:00,2032-08-28 00:00:00,2033-06-15 04:00:00,2033-06-16 13:00:00,monopile,40,MD,tradepoint_1,njwp_1,1410.0,False,2030-01-01 00:00:00
27,27,Duke Energy/Cinergy,70128,83942.71684609169,92089.86224730508,85572.14592633437,92089.86224730508,2030-01-01 00:00:00,2031-07-30 15:00:00,2031-10-06 13:00:00,2032-07-04 02:00:00,2032-07-04 02:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,893.0,True,2032-01-01 00:00:00
28,28,Beacon Wind 1,70128,82831.89874082469,86354.52676646285,83536.42434595233,91660.87371640041,2030-01-01 00:00:00,2031-06-14 08:00:00,2031-07-13 17:00:00,2031-11-08 03:00:00,2032-06-16 05:00:00,monopile,40,NY,euro_fab,sbmt,1230.0,False,2032-01-01 00:00:00
29,29,Ocean Wind 1,61368,75211.84001248181,83942.71684609169,76958.01537920379,83942.71684609169,2029-01-01 00:00:00,2030-07-31 20:00:00,2030-10-12 15:00:00,2031-07-30 15:00:00,2031-07-30 15:00:00,monopile,40,NJ,njwp_1,njwp_1,1222.6,True,2031-01-01 00:00:00
30,30,Vineyard Wind 2 (Vineyard Northeast) MA,61368,73051.84001248181,82831.89874082469,75007.85175815038,82831.89874082469,2029-01-01 00:00:00,2030-05-02 20:00:00,2030-07-23 08:00:00,2031-06-14 08:00:00,2031-06-14 08:00:00,monopile,40,MA,halifax,new_bedford,800.0,False,2031-01-01 00:00:00
31,31,Maine Research Array,78888,78888.0,82612.46059902424,78888.0,82612.46059902424,2031-01-01 00:00:00,2031-01-01 00:00:00,2031-01-01 00:00:00,2031-06-05 05:00:00,2031-06-05 05:00:00,semisub,800,ME,salem,salem,144.0,False,2033-01-01 00:00:00
32,32,Kitty Hawk South,61368,61368.0,73650.16364729172,63824.43272945834,73650.16364729172,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-04-13 09:00:00,2030-05-27 19:00:00,2030-05-27 19:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,1350.7,True,2031-01-01 00:00:00
33,33,Skipjack  2,43824,66180.12935443429,73051.84001248181,67554.4714860438,73051.84001248181,2027-01-01 00:00:00,2029-07-20 13:00:00,2029-09-15 19:00:00,2030-05-02 20:00:00,2030-05-02 20:00:00,monopile,40,MD,tradepoint_1,njwp_1,846.0,False,2029-01-01 00:00:00
34,34,Empire Wind 2,52584,60977.20897348401,66180.12935443429,62017.79304967407,66180.12935443429,2028-01-01 00:00:00,2028-12-15 18:00:00,2029-01-28 02:00:00,2029-07-20 13:00:00,2029-07-20 13:00:00,monopile,40,NY,euro_fab,sbmt,621.0,False,2030-01-01 00:00:00
35,35,Skipjack 1,43824,59709.70490060395,60664.61140886542,59900.68620225625,60977.20897348401,2027-01-01 00:00:00,2028-10-23 22:00:00,2028-10-31 21:00:00,2028-12-02 17:00:00,2028-12-15 18:00:00,monopile,40,MD,tradepoint_1,njwp_1,120.0,False,2029-01-01 00:00:00
36,36,New England Wind 2 (Commonwealth Wind),52584,52584.0,59709.70490060395,54009.14098012079,59709.70490060395,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-02-29 10:00:00,2028-10-23 22:00:00,2028-10-23 22:00:00,monopile,40,MA,salem,salem,1232.0,False,2030-01-01 00:00:00
37,37,Sunrise Wind,26304,42568.630262526814,59708.393090128855,45996.58282804722,59708.393090128855,2025-01-01 00:00:00,2026-11-09 17:00:00,2027-04-01 13:00:00,2028-10-23 21:00:00,2028-10-23 21:00:00,monopile,40,NY,argentia,new_london,924.0,True,2027-01-01 00:00:00
38,38,MarWin (U.S. Wind Phase 1),43824,49542.00080198927,50753.116671988435,49784.2239759891,50808.24528295775,2027-01-01 00:00:00,2027-08-27 07:00:00,2027-09-06 09:00:00,2027-10-16 18:00:00,2027-10-19 01:00:00,monopile,40,MD,tradepoint_1,njwp_1,300.0,False,2029-01-01 00:00:00
39,39,New England Wind 1 (Park City Wind),43824,46751.43958322005,49318.954601862955,47264.94258694864,49542.00080198927,2027-01-01 00:00:00,2027-05-03 00:00:00,2027-05-24 09:00:00,2027-08-17 23:00:00,2027-08-27 07:00:00,monopile,40,MA,salem,salem,791.0,False,2029-01-01 00:00:00
40,40,Empire Wind 1,26304,40408.630262526814,46751.43958322005,41677.19212666546,46751.43958322005,2025-01-01 00:00:00,2026-08-11 17:00:00,2026-10-03 14:00:00,2027-05-03 00:00:00,2027-05-03 00:00:00,monopile,40,NY,euro_fab,sbmt,810.0,False,2027-01-01 00:00:00
