,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Atlantic Shores Offshore Wind Bight,122712,371898.43993331946,394785.79401850625,376475.9107503568,394785.79401850625,2036-01-01 00:00:00,2064-06-04 19:00:00,2064-12-12 12:00:00,2067-01-14 10:00:00,2067-01-14 10:00:00,monopile,40,NY,argentia,new_london,2500.0,False,2038-01-01 00:00:00
1,1,Garden State Offshore Energy I,96432,359083.69228850893,369738.43993331946,361214.641817471,369738.43993331946,2033-01-01 00:00:00,2062-12-18 20:00:00,2063-03-17 15:00:00,2064-03-06 19:00:00,2064-03-06 19:00:00,monopile,40,NJ,argentia,new_london,1080.0,False,2035-01-01 00:00:00
2,2,Attentive Energy One,149016,354442.2727142541,359083.69228850893,355370.55662910506,359083.69228850893,2039-01-01 00:00:00,2062-06-08 11:00:00,2062-07-17 03:00:00,2062-12-18 20:00:00,2062-12-18 20:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
3,3,Bluepoint Wind,105192,342232.5204162682,356367.3280257051,345059.4819381556,356367.3280257051,2034-01-01 00:00:00,2061-01-15 17:00:00,2061-05-13 12:00:00,2062-08-27 16:00:00,2062-08-27 16:00:00,monopile,40,NY,argentia,new_london,1158.0,True,2036-01-01 00:00:00
4,4,Attentive Energy Two,149016,347834.90202197037,352282.2727142541,348724.3761604271,352282.2727142541,2039-01-01 00:00:00,2061-09-06 03:00:00,2061-10-13 05:00:00,2062-03-10 11:00:00,2062-03-10 11:00:00,monopile,40,NJ,euro_fab,sbmt,1342.0,False,2041-01-01 00:00:00
5,5,Excelsior Wind (Vineyard Mid-Atlantic),105192,337846.30377270293,345674.90202197037,339412.0234225564,345674.90202197037,2034-01-01 00:00:00,2060-07-16 23:00:00,2060-09-20 05:00:00,2061-06-08 03:00:00,2061-06-08 03:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
6,6,Atlantic Shores Offshore Wind South 2,105192,322961.49158999405,340072.5204162682,326383.6973552489,340072.5204162682,2034-01-01 00:00:00,2058-11-04 18:00:00,2059-03-27 08:00:00,2060-10-17 17:00:00,2060-10-17 17:00:00,monopile,40,NJ,argentia,new_london,1350.0,True,2036-01-01 00:00:00
7,7,Community Offshore Wind,96432,327412.7909757404,335450.4809438958,329020.3289693715,335686.30377270293,2033-01-01 00:00:00,2059-05-09 05:00:00,2059-07-15 05:00:00,2060-04-08 03:00:00,2060-04-17 23:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
8,8,SouthCoast Wind 1 (Mayflower Wind) RI,122712,325252.7909757404,326460.94870989234,325494.4225225708,326460.94870989234,2036-01-01 00:00:00,2059-02-08 05:00:00,2059-02-18 07:00:00,2059-03-30 13:00:00,2059-03-30 13:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
9,9,Beacon Wind 2,96432,320523.4334526629,323674.2075491436,321153.58827195904,325252.7909757404,2033-01-01 00:00:00,2058-07-26 04:00:00,2058-08-21 10:00:00,2058-12-04 11:00:00,2059-02-08 05:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
10,10,Bay State Wind,87648,288557.35531899164,320801.49158999405,295006.1825731921,320801.49158999405,2032-01-01 00:00:00,2054-12-02 06:00:00,2055-08-27 23:00:00,2058-08-06 18:00:00,2058-08-06 18:00:00,monopile,40,RI,argentia,new_london,2344.3,True,2034-01-01 00:00:00
11,11,SouthCoast Wind 1 (Mayflower Wind) MA,122712,314963.4677039861,320523.4334526629,316075.4608537215,320523.4334526629,2036-01-01 00:00:00,2057-12-06 12:00:00,2058-01-21 20:00:00,2058-07-26 04:00:00,2058-07-26 04:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
12,12,Ocean Wind 2,87648,309767.3447697723,314963.4677039861,310806.5693566151,314963.4677039861,2032-01-01 00:00:00,2057-05-04 00:00:00,2057-06-16 07:00:00,2057-12-06 12:00:00,2057-12-06 12:00:00,monopile,40,NJ,euro_fab,sbmt,1375.2,False,2034-01-01 00:00:00
