,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Atlantic Shores Offshore Wind Bight,78888,78888,206223.41841938335,104355.08368387667,206223.41841938335,2031-01-01 00:00:00,2031-01-01 00:00:00,2033-11-27 04:00:00,2045-07-11 16:00:00,2045-07-11 16:00:00,monopile,40,NY,argentia,new_london,2500.0,False,2033-01-01 00:00:00
1,1,Leading Light Wind,70128,70128,190603.30732045288,94223.06146409057,190603.30732045288,2030-01-01 00:00:00,2030-01-01 00:00:00,2032-10-01 00:00:00,2043-09-29 20:00:00,2043-09-29 20:00:00,monopile,40,NJ,argentia,new_london,2400.0,False,2032-01-01 00:00:00
2,2,Bay State Wind,87648,87648,180489.07112990873,106216.21422598175,180489.07112990873,2032-01-01 00:00:00,2032-01-01 00:00:00,2034-02-12 17:00:00,2042-08-04 10:00:00,2042-08-04 10:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
3,3,Hypothetical GoMe 3,140256,140256,178848.9206686683,140256.0,178848.9206686683,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2042-05-28 01:00:00,2042-05-28 01:00:00,semisub,800,ME,salem,salem,2062.0,False,2040-01-01 00:00:00
4,4,Hypothetical GoMe 4,140256,140256,172522.4206686683,140256.0,172522.4206686683,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2041-09-06 11:00:00,2041-09-06 11:00:00,semisub,800,ME,salem,salem,1716.0,False,2040-01-01 00:00:00
5,5,Hypothetical GoMe 1,131496,131496,171185.4206686683,131496.0,171185.4206686683,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2041-07-12 18:00:00,2041-07-12 18:00:00,semisub,800,ME,salem,salem,2143.0,False,2039-01-01 00:00:00
6,6,Hypothetical GoMe 2,131496,131496,166249.4206686683,131496.0,166249.4206686683,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2040-12-19 02:00:00,2040-12-19 02:00:00,semisub,800,ME,salem,salem,1866.0,False,2039-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 1,87648,87648,163784.69672463648,102875.3393449273,163784.69672463648,2032-01-01 00:00:00,2032-01-01 00:00:00,2033-09-26 12:00:00,2040-09-07 09:00:00,2040-09-07 09:00:00,monopile,40,NJ,argentia,new_london,1510.0,False,2034-01-01 00:00:00
8,8,Avangrid GoME 2,122712,122712,163090.9206686683,122712.0,163090.9206686683,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-08-09 11:00:00,2040-08-09 11:00:00,semisub,800,ME,salem,salem,2171.528889,False,2038-01-01 00:00:00
9,9,Invenergy NE Offshore Wind GoME 2,122712,122712,160223.57012851356,122712.0,160223.57012851356,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-04-12 00:00:00,2040-04-12 00:00:00,semisub,800,MA,salem,salem,1992.965238,False,2038-01-01 00:00:00
10,10,Bluepoint Wind,96432,96432,155251.872951209,108195.97459024179,155251.872951209,2033-01-01 00:00:00,2033-01-01 00:00:00,2034-05-06 04:00:00,2039-09-17 20:00:00,2039-09-17 20:00:00,monopile,40,NY,argentia,new_london,1158.0,False,2035-01-01 00:00:00
11,11,Invenergy NE Offshore Wind GoME 1,113952,113952,151297.97494429408,113952.0,151297.97494429408,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2039-04-06 02:00:00,2039-04-06 02:00:00,semisub,800,ME,salem,salem,1964.167782,False,2037-01-01 00:00:00
12,12,Hpothetical Central Atlantic 1,140256,140256,148437.0520569939,141892.2104113988,148437.0520569939,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-03-10 05:00:00,2038-12-07 22:00:00,2038-12-07 22:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1000.0,True,2040-01-01 00:00:00
13,13,Avangrid GoME 1,113952,113952,147913.6397199433,113952.0,147913.6397199433,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2038-11-16 02:00:00,2038-11-16 02:00:00,semisub,800,MA,salem,salem,1785.604132,False,2037-01-01 00:00:00
14,14,Hypothetical NY Bight 2,131496,131496,137784.7170874123,132753.74341748247,137784.7170874123,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-02-22 10:00:00,2037-09-20 01:00:00,2037-09-20 01:00:00,monopile,40,NJ,euro_fab,sbmt,1000.0,False,2039-01-01 00:00:00
15,15,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,137004.97504867284,125570.59500973456,137004.97504867284,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-29 03:00:00,2037-08-18 13:00:00,2037-08-18 13:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
16,16,Atlantic Shores Offshore Wind South 2,70128,70128,136963.27783879262,83495.05556775852,136963.27783879262,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-07-12 00:00:00,2037-08-16 20:00:00,2037-08-16 20:00:00,monopile,40,NJ,argentia,new_london,1350.0,False,2032-01-01 00:00:00
17,17,Hypothetical NY Bight 1,122712,122712,128962.15946519098,123962.03189303819,128962.15946519098,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-22 03:00:00,2036-09-17 11:00:00,2036-09-17 11:00:00,monopile,40,NY,euro_fab,new_london,1000.0,False,2038-01-01 00:00:00
18,18,Garden State Offshore Energy I,70128,70128,128555.95146148629,81813.59029229726,128555.95146148629,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-05-02 22:00:00,2036-08-31 12:00:00,2036-08-31 12:00:00,monopile,40,NJ,argentia,new_london,1080.0,False,2032-01-01 00:00:00
19,19,SouthCoast Wind 1 (Mayflower Wind) RI,122712,122712,127295.7153563733,123628.74307127466,127295.7153563733,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-08 05:00:00,2036-07-10 00:00:00,2036-07-10 00:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
20,20,Central Atlantic Lease Area C-1,96432,96432,118859.30585324334,100917.46117064866,118859.30585324334,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-07-06 22:00:00,2035-07-24 12:00:00,2035-07-24 12:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2035-01-01 00:00:00
21,21,Attentive Energy One,105192,105192,117034.98649647224,107560.59729929444,117034.98649647224,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-09 17:00:00,2035-05-09 11:00:00,2035-05-09 11:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2036-01-01 00:00:00
22,22,Attentive Energy Two,105192,105192,113982.9376145011,106950.18752290022,113982.9376145011,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-03-15 07:00:00,2035-01-02 07:00:00,2035-01-02 07:00:00,monopile,40,NJ,euro_fab,sbmt,1342.0,True,2036-01-01 00:00:00
