,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy Two,149016,327176.94838768605,331624.3190799698,328066.4225261428,331624.3190799698,2039-01-01 00:00:00,2059-04-29 09:00:00,2059-06-05 11:00:00,2059-10-31 17:00:00,2059-10-31 17:00:00,monopile,40,NJ,euro_fab,sbmt,1342.0,False,2041-01-01 00:00:00
1,1,SouthCoast Wind 1 (Mayflower Wind) RI,122712,325968.7906535341,327176.94838768605,326210.4222003645,327176.94838768605,2036-01-01 00:00:00,2059-03-10 01:00:00,2059-03-20 03:00:00,2059-04-29 09:00:00,2059-04-29 09:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
2,2,Atlantic Shores Offshore Wind South 2,105192,313233.4530637392,325968.7906535341,315780.52058169816,325968.7906535341,2034-01-01 00:00:00,2057-09-25 10:00:00,2058-01-09 13:00:00,2059-03-10 01:00:00,2059-03-10 01:00:00,monopile,40,NJ,argentia,new_london,1350.0,False,2036-01-01 00:00:00
3,3,SouthCoast Wind 1 (Mayflower Wind) MA,122712,307673.4873150624,313233.4530637392,308785.48046479776,313233.4530637392,2036-01-01 00:00:00,2057-02-05 18:00:00,2057-03-24 02:00:00,2057-09-25 10:00:00,2057-09-25 10:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
4,4,Garden State Offshore Energy I,96432,245583.96334525076,307673.4873150624,258001.86813921307,307673.4873150624,2033-01-01 00:00:00,2050-01-06 16:00:00,2051-06-08 02:00:00,2057-02-05 18:00:00,2057-02-05 18:00:00,monopile,40,NJ,argentia,new_london,1080.0,False,2035-01-01 00:00:00
5,5,Beacon Wind 2,96432,237066.61268468926,243053.09254728357,238263.9086572081,245583.96334525076,2033-01-01 00:00:00,2049-01-16 19:00:00,2049-03-07 16:00:00,2049-09-23 06:00:00,2050-01-06 16:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
6,6,SouthCoast Wind Residual,113952,222649.57852959575,237066.61268468926,225532.98536061446,237066.61268468926,2035-01-01 00:00:00,2047-05-27 02:00:00,2047-09-24 05:00:00,2049-01-16 19:00:00,2049-01-16 19:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind North,122712,200211.2681392847,225273.5253784617,205223.71958712008,225273.5253784617,2036-01-01 00:00:00,2044-11-03 04:00:00,2045-05-31 00:00:00,2047-09-13 10:00:00,2047-09-13 10:00:00,monopile,40,NJ,argentia,new_london,1313.3,True,2038-01-01 00:00:00
8,8,Excelsior Wind (Vineyard Mid-Atlantic),70128,198051.2681392847,222649.57852959575,202970.9302173469,222649.57852959575,2030-01-01 00:00:00,2044-08-05 04:00:00,2045-02-26 03:00:00,2047-05-27 02:00:00,2047-05-27 02:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2032-01-01 00:00:00
9,9,Bay State Wind,87648,110311.41819826522,198051.2681392847,127859.38818646912,198051.2681392847,2032-01-01 00:00:00,2034-08-02 08:00:00,2036-08-02 12:00:00,2044-08-05 04:00:00,2044-08-05 04:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
