,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy One,149016,280716.7102713073,288866.3603344476,282346.64028393535,288866.3603344476,2039-01-01 00:00:00,2054-01-09 13:00:00,2054-03-18 11:00:00,2054-12-15 03:00:00,2054-12-15 03:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
1,1,Attentive Energy Two,149016,269650.1090901382,278556.7102713073,271431.42932637205,278556.7102713073,2039-01-01 00:00:00,2052-10-05 11:00:00,2052-12-18 16:00:00,2053-10-11 13:00:00,2053-10-11 13:00:00,monopile,40,NJ,euro_fab,sbmt,1342.0,False,2041-01-01 00:00:00
2,2,Avangrid GoME 2,140256,237258.68479275098,277928.60546141927,237258.68479275098,277928.60546141927,2038-01-01 00:00:00,2049-01-24 19:00:00,2049-01-24 19:00:00,2053-09-15 09:00:00,2053-09-15 09:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
3,3,Excelsior Wind (Vineyard Mid-Atlantic),105192,241423.4622664952,267490.1090901382,246636.7916312238,267490.1090901382,2034-01-01 00:00:00,2049-07-17 08:00:00,2050-02-19 13:00:00,2052-07-07 11:00:00,2052-07-07 11:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
4,4,Atlantic Shores Offshore Wind Bight,122712,223071.62335435618,235109.2261310892,225479.14390970278,241423.4622664952,2036-01-01 00:00:00,2047-06-13 16:00:00,2047-09-22 00:00:00,2048-10-27 06:00:00,2049-07-17 08:00:00,monopile,40,NY,paulsboro,new_london,2500.0,False,2038-01-01 00:00:00
5,5,Invenergy NE Offshore Wind GoME 2,140256,197546.6146642374,235098.68479275098,197546.6146642374,235098.68479275098,2038-01-01 00:00:00,2044-07-15 03:00:00,2044-07-15 03:00:00,2048-10-26 19:00:00,2048-10-26 19:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
6,6,SouthCoast Wind 1 (Mayflower Wind) RI,122712,217182.9079979829,223071.62335435618,218360.65106925755,223071.62335435618,2036-01-01 00:00:00,2046-10-11 07:00:00,2046-11-29 09:00:00,2047-06-13 16:00:00,2047-06-13 16:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
7,7,Community Offshore Wind,96432,201468.48343192288,217182.9079979829,204611.3683451349,217182.9079979829,2033-01-01 00:00:00,2044-12-25 13:00:00,2045-05-05 12:00:00,2046-10-11 07:00:00,2046-10-11 07:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
8,8,Bluepoint Wind,105192,203628.48343192288,213320.54428724144,205566.8956029866,213320.54428724144,2034-01-01 00:00:00,2045-03-25 13:00:00,2045-06-14 07:00:00,2046-05-03 09:00:00,2046-05-03 09:00:00,monopile,40,NY,paulsboro,new_london,1158.0,True,2036-01-01 00:00:00
9,9,Garden State Offshore Energy I,96432,190261.306348954,197365.00671785563,191682.04642273433,201468.48343192288,2033-01-01 00:00:00,2043-09-15 14:00:00,2043-11-13 19:00:00,2044-07-07 14:00:00,2044-12-25 13:00:00,monopile,40,NJ,paulsboro,new_london,1080.0,False,2035-01-01 00:00:00
