,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,SouthCoast Wind 1 (Mayflower Wind) RI,122712,321515.8571257856,322724.01485993754,321757.488672616,322724.01485993754,2036-01-01 00:00:00,2058-09-05 12:00:00,2058-09-15 14:00:00,2058-10-25 21:00:00,2058-10-25 21:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
1,1,Attentive Energy One,149016,316874.4375515308,321515.8571257856,317802.72146638174,321515.8571257856,2039-01-01 00:00:00,2058-02-24 03:00:00,2058-04-03 19:00:00,2058-09-05 12:00:00,2058-09-05 12:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) MA,122712,311314.471802854,316874.4375515308,312426.46495258936,316874.4375515308,2036-01-01 00:00:00,2057-07-07 11:00:00,2057-08-22 19:00:00,2058-02-24 03:00:00,2058-02-24 03:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind Bight,122712,301202.4423912175,310315.8878919745,303025.1314913689,311314.471802854,2036-01-01 00:00:00,2056-05-12 03:00:00,2056-07-27 02:00:00,2057-05-26 20:00:00,2057-07-07 11:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
4,4,SouthCoast Wind Residual,113952,284547.6294250133,301202.4423912175,287878.59201825416,301202.4423912175,2035-01-01 00:00:00,2054-06-18 04:00:00,2054-11-03 23:00:00,2056-05-12 03:00:00,2056-05-12 03:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
5,5,Bluepoint Wind,105192,275613.90399723663,283827.0617861493,277256.53555501916,284547.6294250133,2034-01-01 00:00:00,2053-06-10 22:00:00,2053-08-18 09:00:00,2054-05-19 04:00:00,2054-06-18 04:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
6,6,Avangrid GoME 2,140256,237258.68479275098,277928.60546141927,237258.68479275098,277928.60546141927,2038-01-01 00:00:00,2049-01-24 19:00:00,2049-01-24 19:00:00,2053-09-15 09:00:00,2053-09-15 09:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
7,7,Excelsior Wind (Vineyard Mid-Atlantic),105192,250715.47836248289,275613.90399723663,255695.16348943362,275613.90399723663,2034-01-01 00:00:00,2050-08-08 12:00:00,2051-03-04 00:00:00,2053-06-10 22:00:00,2053-06-10 22:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
8,8,Atlantic Shores Offshore Wind South 2,105192,242440.6610082429,250715.47836248289,244095.62447909088,250715.47836248289,2034-01-01 00:00:00,2049-08-28 17:00:00,2049-11-05 16:00:00,2050-08-08 12:00:00,2050-08-08 12:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
9,9,Community Offshore Wind,96432,225284.90000885076,242440.6610082429,228716.05220872918,242440.6610082429,2033-01-01 00:00:00,2047-09-13 21:00:00,2048-02-03 21:00:00,2049-08-28 17:00:00,2049-08-28 17:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
10,10,Invenergy NE Offshore Wind GoME 2,140256,197546.6146642374,235098.68479275098,197546.6146642374,235098.68479275098,2038-01-01 00:00:00,2044-07-15 03:00:00,2044-07-15 03:00:00,2048-10-26 19:00:00,2048-10-26 19:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
