,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Avangrid GoME 2,140256,237258.68479275098,277928.60546141927,237258.68479275098,277928.60546141927,2038-01-01 00:00:00,2049-01-24 19:00:00,2049-01-24 19:00:00,2053-09-15 09:00:00,2053-09-15 09:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
1,1,SouthCoast Wind 1 (Mayflower Wind) RI,122712,233615.5597229415,235677.2768046622,234027.90313928566,235677.2768046622,2036-01-01 00:00:00,2048-08-26 00:00:00,2048-09-12 04:00:00,2048-11-19 22:00:00,2048-11-19 22:00:00,monopile,40,RI,paulsboro,new_bedford,200.0,False,2038-01-01 00:00:00
2,2,Invenergy NE Offshore Wind GoME 2,140256,197546.6146642374,235098.68479275098,197546.6146642374,235098.68479275098,2038-01-01 00:00:00,2044-07-15 03:00:00,2044-07-15 03:00:00,2048-10-26 19:00:00,2048-10-26 19:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind Bight,122712,218575.7237227246,233615.5597229415,221583.69092276797,233615.5597229415,2036-01-01 00:00:00,2046-12-08 08:00:00,2047-04-12 16:00:00,2048-08-26 00:00:00,2048-08-26 00:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
4,4,SouthCoast Wind 1 (Mayflower Wind) MA,122712,213138.38654615227,218575.7237227246,214225.85398146673,218575.7237227246,2036-01-01 00:00:00,2046-04-25 19:00:00,2046-06-10 02:00:00,2046-12-08 08:00:00,2046-12-08 08:00:00,monopile,40,MA,paulsboro,new_bedford,1087.0,False,2038-01-01 00:00:00
5,5,Bluepoint Wind,105192,204922.45513188242,209907.7095199277,205919.50600949148,213138.38654615227,2034-01-01 00:00:00,2045-05-18 11:00:00,2045-06-29 00:00:00,2045-12-12 04:00:00,2046-04-25 19:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
6,6,Excelsior Wind (Vineyard Mid-Atlantic),105192,196574.3823039004,204922.45513188242,198243.9968694968,204922.45513188242,2034-01-01 00:00:00,2044-06-04 15:00:00,2044-08-13 04:00:00,2045-05-18 11:00:00,2045-05-18 11:00:00,monopile,40,NY,paulsboro,sbmt,1314.0,False,2036-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 2,105192,188512.12257188177,196574.3823039004,190124.5745182855,196574.3823039004,2034-01-01 00:00:00,2043-07-04 17:00:00,2043-09-09 21:00:00,2044-06-04 15:00:00,2044-06-04 15:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
8,8,Avangrid GoME 1,131496,161856.47494429408,195386.6146642374,161856.47494429408,195386.6146642374,2037-01-01 00:00:00,2040-06-19 01:00:00,2040-06-19 01:00:00,2044-04-16 03:00:00,2044-04-16 03:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
9,9,Attentive Energy One,149016,179528.47250874157,188512.12257188177,181325.20252136962,188512.12257188177,2039-01-01 00:00:00,2042-06-25 09:00:00,2042-09-08 06:00:00,2043-07-04 17:00:00,2043-07-04 17:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
