,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical GoMe 4,140256,385955.36746742413,416090.7881360924,385955.36746742413,416090.7881360924,2038-01-01 00:00:00,2066-01-11 12:00:00,2066-01-11 12:00:00,2069-06-20 03:00:00,2069-06-20 03:00:00,semisub,800,ME,salem,salem,1716.0,False,2040-01-01 00:00:00
1,1,Hypothetical GoMe 3,140256,347679.94679875585,383795.36746742413,347679.94679875585,383795.36746742413,2038-01-01 00:00:00,2061-08-30 16:00:00,2061-08-30 16:00:00,2065-10-13 12:00:00,2065-10-13 12:00:00,semisub,800,ME,salem,salem,2062.0,False,2040-01-01 00:00:00
2,2,Hypothetical GoMe 2,131496,312784.52613008756,345519.94679875585,312784.52613008756,345519.94679875585,2037-01-01 00:00:00,2057-09-06 17:00:00,2057-09-06 17:00:00,2061-06-01 16:00:00,2061-06-01 16:00:00,semisub,800,ME,salem,salem,1866.0,False,2039-01-01 00:00:00
3,3,Hypothetical NY Bight 2,131496,326989.4776736158,330050.0795165854,327601.5980422097,330050.0795165854,2037-01-01 00:00:00,2059-04-21 14:00:00,2059-05-17 02:00:00,2059-08-27 03:00:00,2059-08-27 03:00:00,monopile,40,NJ,euro_fab,sbmt,1000.0,False,2039-01-01 00:00:00
4,4,Bluepoint Wind,96432,322559.0701525053,326454.5550747539,323338.167136955,326989.4776736158,2033-01-01 00:00:00,2058-10-19 00:00:00,2058-11-20 11:00:00,2059-03-30 07:00:00,2059-04-21 14:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2035-01-01 00:00:00
5,5,Hypothetical NY Bight 1,122712,319498.4683095357,322559.0701525053,320110.5886781296,322559.0701525053,2036-01-01 00:00:00,2058-06-13 11:00:00,2058-07-08 23:00:00,2058-10-19 00:00:00,2058-10-19 00:00:00,monopile,40,NY,euro_fab,new_london,1000.0,False,2038-01-01 00:00:00
6,6,SouthCoast Wind 1 (Mayflower Wind) RI,122712,318290.3105753838,319498.4683095357,318531.9421222142,319498.4683095357,2036-01-01 00:00:00,2058-04-24 03:00:00,2058-05-04 04:00:00,2058-06-13 11:00:00,2058-06-13 11:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 1,87648,313912.174730853,318256.8859733365,314781.1169793497,318290.3105753838,2032-01-01 00:00:00,2057-10-23 17:00:00,2057-11-28 22:00:00,2058-04-22 17:00:00,2058-04-24 03:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,False,2034-01-01 00:00:00
8,8,SouthCoast Wind 1 (Mayflower Wind) MA,122712,308352.2089821762,313912.174730853,309464.2021319116,313912.174730853,2036-01-01 00:00:00,2057-03-06 01:00:00,2057-04-21 09:00:00,2057-10-23 17:00:00,2057-10-23 17:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
9,9,Hypothetical GoMe 1,131496,271047.60546141927,310624.52613008756,271047.60546141927,310624.52613008756,2037-01-01 00:00:00,2052-12-02 16:00:00,2052-12-02 16:00:00,2057-06-08 17:00:00,2057-06-08 17:00:00,semisub,800,ME,salem,salem,2143.0,False,2039-01-01 00:00:00
