,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical GoMe 4,140256,385955.36746742413,416090.7881360924,385955.36746742413,416090.7881360924,2038-01-01 00:00:00,2066-01-11 12:00:00,2066-01-11 12:00:00,2069-06-20 03:00:00,2069-06-20 03:00:00,semisub,800,ME,salem,salem,1716.0,False,2040-01-01 00:00:00
1,1,Hypothetical GoMe 3,140256,347679.94679875585,383795.36746742413,347679.94679875585,383795.36746742413,2038-01-01 00:00:00,2061-08-30 16:00:00,2061-08-30 16:00:00,2065-10-13 12:00:00,2065-10-13 12:00:00,semisub,800,ME,salem,salem,2062.0,False,2040-01-01 00:00:00
2,2,Hypothetical GoMe 2,131496,312784.52613008756,345519.94679875585,312784.52613008756,345519.94679875585,2037-01-01 00:00:00,2057-09-06 17:00:00,2057-09-06 17:00:00,2061-06-01 16:00:00,2061-06-01 16:00:00,semisub,800,ME,salem,salem,1866.0,False,2039-01-01 00:00:00
3,3,Hypothetical GoMe 1,131496,271047.60546141927,310624.52613008756,271047.60546141927,310624.52613008756,2037-01-01 00:00:00,2052-12-02 16:00:00,2052-12-02 16:00:00,2057-06-08 17:00:00,2057-06-08 17:00:00,semisub,800,ME,salem,salem,2143.0,False,2039-01-01 00:00:00
4,4,Avangrid GoME 2,122712,228516.68479275098,268887.60546141927,228516.68479275098,268887.60546141927,2036-01-01 00:00:00,2048-01-26 13:00:00,2048-01-26 13:00:00,2052-09-03 16:00:00,2052-09-03 16:00:00,semisub,800,ME,salem,salem,2171.528889,False,2038-01-01 00:00:00
5,5,Hypothetical NY Bight 2,131496,249396.64197846828,253244.35906588056,250166.18539595074,253352.50295628747,2037-01-01 00:00:00,2050-06-14 13:00:00,2050-07-16 15:00:00,2050-11-21 21:00:00,2050-11-26 09:00:00,monopile,40,NJ,euro_fab,sbmt,1000.0,False,2039-01-01 00:00:00
6,6,Bluepoint Wind,96432,240101.531692914,248516.24710404797,241784.47477514078,249396.64197846828,2033-01-01 00:00:00,2049-05-23 06:00:00,2049-08-01 09:00:00,2050-05-08 21:00:00,2050-06-14 13:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2035-01-01 00:00:00
7,7,SouthCoast Wind 1 (Mayflower Wind) RI,122712,234735.73326105255,240101.531692914,235808.89294742484,240101.531692914,2036-01-01 00:00:00,2048-10-11 16:00:00,2048-11-25 09:00:00,2049-05-23 06:00:00,2049-05-23 06:00:00,monopile,40,RI,paulsboro,new_bedford,200.0,False,2038-01-01 00:00:00
8,8,Atlantic Shores Offshore Wind South 1,87648,226091.1279630156,234735.73326105255,227820.049022623,234735.73326105255,2032-01-01 00:00:00,2047-10-17 12:00:00,2047-12-28 13:00:00,2048-10-11 16:00:00,2048-10-11 16:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,False,2034-01-01 00:00:00
9,9,Invenergy NE Offshore Wind GoME 2,122712,189024.6146642374,226356.68479275098,189024.6146642374,226356.68479275098,2036-01-01 00:00:00,2043-07-26 01:00:00,2043-07-26 01:00:00,2047-10-28 13:00:00,2047-10-28 13:00:00,semisub,800,MA,salem,salem,1992.965238,False,2038-01-01 00:00:00
