,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,SouthCoast Wind 1 (Mayflower Wind) RI,122712,173915.38137744987,178685.17980931132,174869.34106382215,178685.17980931132,2036-01-01 00:00:00,2041-11-03 12:00:00,2041-12-13 06:00:00,2042-05-21 06:00:00,2042-05-21 06:00:00,monopile,40,RI,paulsboro,new_bedford,200.0,False,2038-01-01 00:00:00
1,1,SouthCoast Wind 1 (Mayflower Wind) MA,122712,162604.93797081546,171755.38137744987,164435.02665214235,171755.38137744987,2036-01-01 00:00:00,2040-07-20 05:00:00,2040-10-04 12:00:00,2041-08-05 12:00:00,2041-08-05 12:00:00,monopile,40,MA,paulsboro,new_bedford,1087.0,False,2038-01-01 00:00:00
2,2,Attentive Energy Two,149016,154369.34701920327,162604.93797081546,156016.46520952572,162604.93797081546,2039-01-01 00:00:00,2039-08-12 02:00:00,2039-10-19 17:00:00,2040-07-20 05:00:00,2040-07-20 05:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2041-01-01 00:00:00
3,3,SouthCoast Wind Residual,113952,145245.22201713966,154369.34701920327,147070.0470175524,154369.34701920327,2035-01-01 00:00:00,2038-07-27 22:00:00,2038-10-11 23:00:00,2039-08-12 02:00:00,2039-08-12 02:00:00,monopile,40,MA,paulsboro,new_bedford,1113.0,False,2037-01-01 00:00:00
4,4,Atlantic Shores Offshore Wind South 2,105192,137774.18347401035,145245.22201713966,139268.3911826362,145245.22201713966,2034-01-01 00:00:00,2037-09-19 15:00:00,2037-11-20 21:00:00,2038-07-27 22:00:00,2038-07-27 22:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
5,5,Beacon Wind 2,96432,129346.86939333874,136305.31635648353,130738.5587859677,137774.18347401035,2033-01-01 00:00:00,2036-10-03 11:00:00,2036-11-30 11:00:00,2037-07-20 10:00:00,2037-09-19 15:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
6,6,Atlantic Shores Offshore Wind North,122712,122712.0,134863.03176539834,125142.20635307967,134863.03176539834,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-11 07:00:00,2037-05-21 08:00:00,2037-05-21 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2038-01-01 00:00:00
7,7,Bay State Wind,87648,110001.83532405717,129346.86939333874,113870.84213791348,129346.86939333874,2032-01-01 00:00:00,2034-07-20 10:00:00,2034-12-28 15:00:00,2036-10-03 11:00:00,2036-10-03 11:00:00,monopile,40,RI,paulsboro,new_london,2344.3,False,2034-01-01 00:00:00
8,8,Kitty Hawk South,105192,105192.0,117765.16364729172,107706.63272945835,117765.16364729172,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-15 19:00:00,2035-06-08 22:00:00,2035-06-08 22:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,1350.7,True,2036-01-01 00:00:00
9,9,Garden State Offshore Energy I,96432,103259.6358785358,110001.83532405717,104608.07576764008,110001.83532405717,2033-01-01 00:00:00,2033-10-12 12:00:00,2033-12-07 17:00:00,2034-07-20 10:00:00,2034-07-20 10:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
10,10,Excelsior Wind (Vineyard Mid-Atlantic),70128,95174.78423944308,103259.6358785358,96791.75456726163,103259.6358785358,2030-01-01 00:00:00,2032-11-09 15:00:00,2033-01-16 00:00:00,2033-10-12 12:00:00,2033-10-12 12:00:00,monopile,40,NY,paulsboro,sbmt,1314.0,False,2032-01-01 00:00:00
11,11,Vineyard Wind 2 (Vineyard Northeast) MA,87648,90759.31577132821,95174.78423944308,91642.40946495118,95174.78423944308,2032-01-01 00:00:00,2032-05-09 16:00:00,2032-06-15 11:00:00,2032-11-09 15:00:00,2032-11-09 15:00:00,monopile,40,MA,paulsboro,new_bedford,800.0,False,2034-01-01 00:00:00
12,12,CVOW-South (Kitty Hawk North),78888,85255.12299378109,92095.35482548934,86623.16936012273,92095.35482548934,2031-01-01 00:00:00,2031-09-23 08:00:00,2031-11-19 08:00:00,2032-07-04 08:00:00,2032-07-04 08:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,800.0,True,2033-01-01 00:00:00
13,13,Beacon Wind 1,70128,81812.82979317219,85374.30965576645,82525.12576569105,90759.31577132821,2030-01-01 00:00:00,2031-05-02 21:00:00,2031-06-01 14:00:00,2031-09-28 07:00:00,2032-05-09 16:00:00,monopile,40,NY,euro_fab,sbmt,1230.0,False,2032-01-01 00:00:00
14,14,Ocean Wind 1,61368,76512.24616017118,85255.12299378109,78260.82152689317,85255.12299378109,2029-01-01 00:00:00,2030-09-24 01:00:00,2030-12-05 21:00:00,2031-09-23 08:00:00,2031-09-23 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1222.6,True,2031-01-01 00:00:00
15,15,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,73193.00835155955,81812.82979317219,74916.97263988208,81812.82979317219,2028-01-01 00:00:00,2030-05-08 18:00:00,2030-07-19 13:00:00,2031-05-02 21:00:00,2031-05-02 21:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,1410.0,False,2030-01-01 00:00:00
16,16,Atlantic Shores Offshore Wind South 1,61368,61368.0,74352.24616017118,63964.849232034234,74352.24616017118,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-04-19 05:00:00,2030-06-26 01:00:00,2030-06-26 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,True,2031-01-01 00:00:00
17,17,Empire Wind 2,52584,67259.48620213309,73193.00835155955,68446.19063201838,73193.00835155955,2028-01-01 00:00:00,2029-09-03 12:00:00,2029-10-22 23:00:00,2030-05-08 18:00:00,2030-05-08 18:00:00,monopile,40,NY,euro_fab,sbmt,621.0,False,2030-01-01 00:00:00
18,18,Skipjack  2,43824,63133.666499640254,67259.48620213309,63958.83044013882,67259.48620213309,2027-01-01 00:00:00,2029-03-15 14:00:00,2029-04-18 23:00:00,2029-09-03 12:00:00,2029-09-03 12:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,846.0,False,2029-01-01 00:00:00
19,19,New England Wind 2 (Commonwealth Wind),52584,56081.866475755676,60982.35018747026,57061.963218098594,63133.666499640254,2028-01-01 00:00:00,2028-05-25 18:00:00,2028-07-05 14:00:00,2028-12-15 23:00:00,2029-03-15 14:00:00,monopile,40,MA,salem,salem,1232.0,False,2030-01-01 00:00:00
20,20,Skipjack 1,43824,52540.79357308955,56081.866475755676,53249.00815362277,56081.866475755676,2027-01-01 00:00:00,2027-12-30 05:00:00,2028-01-28 18:00:00,2028-05-25 18:00:00,2028-05-25 18:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,120.0,False,2029-01-01 00:00:00
21,21,MarWin (U.S. Wind Phase 1),43824,49185.51501864291,50257.58532364427,49399.92907964318,50380.79357308955,2027-01-01 00:00:00,2027-08-12 10:00:00,2027-08-21 08:00:00,2027-09-26 02:00:00,2027-10-01 05:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,300.0,False,2029-01-01 00:00:00
22,22,New England Wind 1 (Park City Wind),43824,43824.0,49185.51501864291,44896.30300372858,49185.51501864291,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-02-14 17:00:00,2027-08-12 10:00:00,2027-08-12 10:00:00,monopile,40,MA,salem,salem,791.0,False,2029-01-01 00:00:00
23,23,Sunrise Wind,26304,34955.38421014817,47397.55637382352,37443.81864288324,47397.55637382352,2025-01-01 00:00:00,2025-12-27 12:00:00,2026-04-10 04:00:00,2027-05-29 22:00:00,2027-05-29 22:00:00,monopile,40,NY,paulsboro,new_london,924.0,True,2027-01-01 00:00:00
24,24,CVOW-C,17520,17520.0,34955.38421014817,21007.076842029634,34955.38421014817,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-05-25 08:00:00,2025-12-27 12:00:00,2025-12-27 12:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,2587.0,True,2026-01-01 00:00:00
25,25,Empire Wind 1,26304,29550.386493471873,32308.63819194377,30102.036833166254,32308.63819194377,2025-01-01 00:00:00,2025-05-16 07:00:00,2025-06-08 07:00:00,2025-09-08 05:00:00,2025-09-08 05:00:00,monopile,40,NY,euro_fab,sbmt,810.0,False,2027-01-01 00:00:00
26,26,Revolution Wind 1 RI,17520,24021.41616035594,29550.386493471873,25127.21022697913,29550.386493471873,2024-01-01 00:00:00,2024-09-27 22:00:00,2024-11-13 00:00:00,2025-05-16 07:00:00,2025-05-16 07:00:00,monopile,40,RI,paulsboro,new_london,400.0,False,2026-01-01 00:00:00
27,27,Revolution Wind 1 CT,17520,17520.0,21861.41616035594,18388.28323207119,21861.41616035594,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-02-06 05:00:00,2024-06-29 22:00:00,2024-06-29 22:00:00,monopile,40,CT,paulsboro,new_london,304.0,False,2026-01-01 00:00:00
28,28,Vineyard Wind 1,8760,8760.0,15077.143857664458,10023.428771532892,15077.143857664458,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-02-22 16:00:00,2023-09-21 06:00:00,2023-09-21 06:00:00,monopile,40,MA,paulsboro,new_bedford,806.0,False,2025-01-01 00:00:00
29,29,South Fork,0,0.0,3378.4401056128418,675.6880211225684,3378.4401056128418,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-29 04:00:00,2022-05-21 19:00:00,2022-05-21 19:00:00,monopile,40,NY,euro_fab,new_london,132.0,False,2024-01-01 00:00:00
