,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,NY-NJ Project 19,122736,152045.87912268454,153566.67485248047,152350.03826864372,156141.75101863142,2037-01-01 00:00:00,2040-05-06 06:00:00,2040-05-18 23:00:00,2040-07-08 15:00:00,2040-10-23 22:00:00,monopile,40,NY,njwp,njwp,1000,False,2038-01-01 00:00:00
1,1,NY-NJ Project 18,105192,145807.7279291585,147290.0174763105,146104.1858385889,149885.87912268454,2035-01-01 00:00:00,2039-08-20 08:00:00,2039-09-01 17:00:00,2039-10-21 03:00:00,2040-02-06 06:00:00,monopile,40,NJ,njwp,njwp,1000,False,2036-01-01 00:00:00
2,2,NY-NJ Project 15,96432,139569.66404709962,141051.76387088615,139866.08401185693,143647.7279291585,2034-01-01 00:00:00,2038-12-03 10:00:00,2038-12-15 19:00:00,2039-02-03 04:00:00,2039-05-22 08:00:00,monopile,40,NJ,njwp,njwp,1000,False,2035-01-01 00:00:00
3,3,Mid-Atlantic Project 10,96432,135304.92617509866,137009.62417620418,135645.86577531978,139569.66404709962,2034-01-01 00:00:00,2038-06-08 17:00:00,2038-06-22 22:00:00,2038-08-18 18:00:00,2038-12-03 10:00:00,monopile,40,NC,portsmouth,portsmouth,1000,False,2035-01-01 00:00:00
4,4,NY-NJ Project 14,96432,131180.49722136042,132756.12578437498,131495.62293396334,135304.92617509866,2034-01-01 00:00:00,2037-12-18 21:00:00,2038-01-01 00:00:00,2038-02-22 13:00:00,2038-06-08 17:00:00,monopile,40,NY,njwp,njwp,1000,False,2035-01-01 00:00:00
5,5,Mid-Atlantic Project 8,70128,127820.02996100976,129288.42473122996,128113.7089150538,131180.49722136042,2031-01-01 00:00:00,2037-07-31 21:00:00,2037-08-13 02:00:00,2037-10-01 01:00:00,2037-12-18 21:00:00,monopile,40,MD,tradepoint,tradepoint,800,False,2032-01-01 00:00:00
6,6,Mid-Atlantic Project 6,70128,123563.61313029865,125266.73870169648,123904.23824457821,127820.02996100976,2031-01-01 00:00:00,2037-02-04 12:00:00,2037-02-18 17:00:00,2037-04-16 11:00:00,2037-07-31 21:00:00,monopile,40,NC,portsmouth,portsmouth,1000,False,2032-01-01 00:00:00
7,7,NE Project 11,96432,106763.09060593483,123545.58105440454,110123.1951108076,123563.61313029865,2034-01-01 00:00:00,2035-03-07 12:00:00,2035-07-25 12:00:00,2037-02-03 18:00:00,2037-02-04 12:00:00,jacket,40,MA,new_bedford,new_bedford,2500,False,2035-01-01 00:00:00
8,8,NY-NJ Project 17,105192,109861.40414723959,112826.065845834,110454.33648695848,115733.70946343493,2035-01-01 00:00:00,2035-07-14 14:00:00,2035-08-08 07:00:00,2035-11-15 03:00:00,2036-03-15 06:00:00,monopile,40,NJ,njwp,njwp,1000,True,2036-01-01 00:00:00
9,9,NY-NJ Project 16,105192,105801.96085656315,107236.11039084636,106088.79076341979,109861.40414723959,2035-01-01 00:00:00,2035-01-26 10:00:00,2035-02-07 09:00:00,2035-03-27 05:00:00,2035-07-14 14:00:00,monopile,40,NY,sbmt,sbmt,1000,True,2036-01-01 00:00:00
10,10,Mid-Atlantic Project 7,70128,106157.51856569832,106444.5372353477,106214.9222996282,106763.09060593483,2031-01-01 00:00:00,2035-02-10 06:00:00,2035-02-12 15:00:00,2035-02-22 05:00:00,2035-03-07 12:00:00,monopile,40,MD,tradepoint,tradepoint,100,False,2032-01-01 00:00:00
11,11,NY-NJ Project 12,70128,96041.40746722673,99745.81486239466,96782.28894626032,106157.51856569832,2031-01-01 00:00:00,2033-12-15 18:00:00,2034-01-15 15:00:00,2034-05-19 02:00:00,2035-02-10 06:00:00,monopile,40,NJ,njwp,njwp,2500,False,2032-01-01 00:00:00
12,12,Mid-Atlantic Project 9,87672,90905.01333354627,98420.61909239863,92408.13448531674,105801.96085656315,2033-01-01 00:00:00,2033-05-15 18:00:00,2033-07-17 09:00:00,2034-03-24 21:00:00,2035-01-26 10:00:00,monopile,40,NC,portsmouth,portsmouth,2500,True,2034-01-01 00:00:00
13,13,NE Project 10,78888,83544.36731865403,100608.30954298921,83544.36731865403,100608.30954298921,2032-01-01 00:00:00,2032-07-13 01:00:00,2032-07-13 01:00:00,2034-06-24 01:00:00,2034-06-24 01:00:00,semisub,800,MA,salem,salem,1000,False,2033-01-01 00:00:00
14,14,NY-NJ Project 7,61368,89921.25859816794,92386.68535754652,90414.34395004367,96041.40746722673,2030-01-01 00:00:00,2033-04-04 18:00:00,2033-04-25 07:00:00,2033-07-16 11:00:00,2033-12-15 18:00:00,monopile,40,NY,sbmt,sbmt,1500,False,2031-01-01 00:00:00
15,15,NE Project 9,78888,78888.0,92775.50716670197,78888.0,92775.50716670197,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-01-01 00:00:00,2033-08-01 16:00:00,2033-08-01 16:00:00,semisub,800,RI,searsport,searsport,800,False,2033-01-01 00:00:00
16,16,NY-NJ Project 8,70128,84941.14288530764,87951.5871499237,85543.23173823085,90905.01333354627,2031-01-01 00:00:00,2032-09-09 06:00:00,2032-10-04 08:00:00,2033-01-12 16:00:00,2033-05-15 18:00:00,monopile,40,NJ,njwp,njwp,1000,True,2032-01-01 00:00:00
17,17,NY-NJ Project 10,70128,85770.51231044494,87391.7079888395,86094.75144612386,89921.25859816794,2031-01-01 00:00:00,2032-10-13 19:00:00,2032-10-27 07:00:00,2032-12-20 08:00:00,2033-04-04 18:00:00,monopile,40,NY,arthur_kill,arthur_kill,1000,False,2032-01-01 00:00:00
18,18,NE Project 7,52608,80309.8612558121,85754.07979755833,81401.99146673866,85770.51231044494,2029-01-01 00:00:00,2032-02-29 06:00:00,2032-04-14 18:00:00,2032-10-13 03:00:00,2032-10-13 19:00:00,jacket,40,MA,new_bedford,new_bedford,800,False,2030-01-01 00:00:00
