,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp,port:searsport,port:tradepoint,port:portsmouth,port:salem,port:arthur_kill
0,2023-01-01 00:00:00.000000,2,4,3,10,0,0,1,0,1,0,0,0,0,0,0,0
1,2023-01-01 00:00:00.000000,2,4,3,10,0,0,1,0,1,0,0,0,0,0,0,0
2,2023-01-16 05:00:00.000000,2,4,3,10,0,0,1,0,1,0,0,0,0,1,0,0
3,2023-01-31 11:00:00.000000,2,4,3,10,0,0,1,0,1,0,1,0,0,1,0,0
4,2023-01-31 11:00:00.000000,2,4,3,10,0,0,1,0,1,0,1,0,1,1,0,0
5,2023-02-15 16:00:00.000000,2,4,3,10,0,0,1,0,1,0,1,0,1,1,1,0
6,2023-03-02 21:00:00.000000,2,4,3,10,0,0,1,0,1,0,1,0,1,1,1,1
7,2023-03-02 21:00:00.000000,2,4,3,10,0,0,1,0,1,1,1,0,1,1,1,1
8,2023-04-17 13:00:00.000000,2,4,3,10,0,1,1,0,1,1,1,0,1,1,1,1
9,2023-04-17 13:00:00.000000,2,4,4,10,0,1,1,0,1,1,1,0,1,1,1,1
10,2023-04-17 13:00:00.000000,2,4,4,10,0,1,1,0,1,1,1,1,1,1,1,1
11,2023-05-16 10:05:17.842167,2,3,3,10,0,0,1,0,0,1,1,1,1,1,1,1
12,2023-05-16 10:05:17.842167,2,3,3,10,0,1,1,0,0,1,1,1,1,1,1,1
13,2023-05-16 10:05:17.842167,2,3,4,10,0,1,1,0,0,1,1,1,1,1,1,1
14,2023-05-16 10:05:17.842167,2,3,4,10,0,1,1,0,0,1,1,1,1,1,1,1
15,2023-08-14 10:05:17.842167,2,3,4,10,0,1,1,1,0,1,1,1,1,1,1,1
16,2023-08-27 08:45:31.793115,2,3,4,10,1,1,1,1,0,1,1,1,1,1,1,1
17,2023-08-27 08:45:31.793115,2,4,4,10,1,1,1,1,0,1,1,1,1,1,1,1
