,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy One,149016,317713.8417033337,322355.26127758855,318642.1256181847,322355.26127758855,2039-01-01 00:00:00,2058-03-31 02:00:00,2058-05-08 19:00:00,2058-10-10 12:00:00,2058-10-10 12:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
1,1,SouthCoast Wind 1 (Mayflower Wind) RI,122712,316505.6839691818,317713.8417033337,316747.3155160122,317713.8417033337,2036-01-01 00:00:00,2058-02-08 18:00:00,2058-02-18 20:00:00,2058-03-31 02:00:00,2058-03-31 02:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
2,2,Atlantic Shores Offshore Wind Bight,122712,308558.79506758007,316066.45245723036,310060.32654551015,316505.6839691818,2036-01-01 00:00:00,2057-03-14 15:00:00,2057-05-16 05:00:00,2058-01-21 11:00:00,2058-02-08 18:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
3,3,SouthCoast Wind 1 (Mayflower Wind) MA,122712,294400.82001890725,308558.79506758007,297232.4150286418,308558.79506758007,2036-01-01 00:00:00,2055-08-02 17:00:00,2055-11-28 17:00:00,2057-03-14 15:00:00,2057-03-14 15:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
4,4,Bluepoint Wind,105192,285463.65103352617,293473.1266104608,287065.5461489131,294400.82001890725,2034-01-01 00:00:00,2054-07-26 08:00:00,2054-10-01 02:00:00,2055-06-25 02:00:00,2055-08-02 17:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
5,5,SouthCoast Wind Residual,113952,269463.72282287927,285463.65103352617,272663.70846500865,285463.65103352617,2035-01-01 00:00:00,2052-09-27 16:00:00,2053-02-08 00:00:00,2054-07-26 08:00:00,2054-07-26 08:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
6,6,Avangrid GoME 2,140256,237258.68479275098,277928.60546141927,237258.68479275098,277928.60546141927,2038-01-01 00:00:00,2049-01-24 19:00:00,2049-01-24 19:00:00,2053-09-15 09:00:00,2053-09-15 09:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 2,105192,261406.68427974993,269463.72282287927,263018.0919883758,269463.72282287927,2034-01-01 00:00:00,2051-10-27 23:00:00,2052-01-03 03:00:00,2052-09-27 16:00:00,2052-09-27 16:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
8,8,Excelsior Wind (Vineyard Mid-Atlantic),105192,240043.8162672176,261406.68427974993,244316.38986972405,261406.68427974993,2034-01-01 00:00:00,2049-05-20 20:00:00,2049-11-14 21:00:00,2051-10-27 23:00:00,2051-10-27 23:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
9,9,Garden State Offshore Energy I,96432,232818.2472771876,240043.8162672176,234263.3610751936,240043.8162672176,2033-01-01 00:00:00,2048-07-23 19:00:00,2048-09-22 00:00:00,2049-05-20 20:00:00,2049-05-20 20:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
10,10,Invenergy NE Offshore Wind GoME 2,140256,197546.6146642374,235098.68479275098,197546.6146642374,235098.68479275098,2038-01-01 00:00:00,2044-07-15 03:00:00,2044-07-15 03:00:00,2048-10-26 19:00:00,2048-10-26 19:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
11,11,Community Offshore Wind,96432,216128.65240348363,232818.2472771876,219466.5713782244,232818.2472771876,2033-01-01 00:00:00,2046-08-28 09:00:00,2047-01-14 11:00:00,2048-07-23 19:00:00,2048-07-23 19:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
12,12,Leading Light Wind,70128,203192.93498588743,216128.65240348363,205780.07846940667,216128.65240348363,2030-01-01 00:00:00,2045-03-07 09:00:00,2045-06-23 05:00:00,2046-08-28 09:00:00,2046-08-28 09:00:00,monopile,40,NJ,njwp_1,njwp_1,2400.0,False,2032-01-01 00:00:00
13,13,Beacon Wind 2,96432,194796.004398732,199027.55730632338,195642.3149802503,203192.93498588743,2033-01-01 00:00:00,2044-03-22 13:00:00,2044-04-26 19:00:00,2044-09-14 20:00:00,2045-03-07 09:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
14,14,Attentive Energy Two,149016,184295.07316129832,196742.17554525685,186784.49363809003,196742.17554525685,2039-01-01 00:00:00,2043-01-10 00:00:00,2043-04-23 17:00:00,2044-06-11 15:00:00,2044-06-11 15:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2041-01-01 00:00:00
15,15,Avangrid GoME 1,131496,161856.47494429408,195386.6146642374,161856.47494429408,195386.6146642374,2037-01-01 00:00:00,2040-06-19 01:00:00,2040-06-19 01:00:00,2044-04-16 03:00:00,2044-04-16 03:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
16,16,Bay State Wind,87648,102931.37564660193,194796.004398732,121304.30139702794,194796.004398732,2032-01-01 00:00:00,2033-09-28 20:00:00,2035-11-03 09:00:00,2044-03-22 13:00:00,2044-03-22 13:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
17,17,Central Atlantic Lease Area C-1,140256,158822.58101913912,182135.07316129832,163485.07944757096,182135.07316129832,2038-01-01 00:00:00,2040-02-13 15:00:00,2040-08-25 22:00:00,2042-10-12 00:00:00,2042-10-12 00:00:00,monopile,40,NC,njwp_1,njwp_1,2857.164097,True,2040-01-01 00:00:00
