,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Atlantic Shores Offshore Wind Bight,122712,389991.18158598116,412878.53567116795,394568.6524030185,412878.53567116795,2036-01-01 00:00:00,2066-06-28 16:00:00,2067-01-05 09:00:00,2069-02-06 07:00:00,2069-02-06 07:00:00,monopile,40,NY,argentia,new_london,2500.0,False,2038-01-01 00:00:00
1,1,Bluepoint Wind,105192,377312.3060086367,387831.18158598116,379416.0811241056,387831.18158598116,2034-01-01 00:00:00,2065-01-16 09:00:00,2065-04-14 01:00:00,2066-03-30 16:00:00,2066-03-30 16:00:00,monopile,40,NY,argentia,new_london,1158.0,False,2036-01-01 00:00:00
2,2,Attentive Energy One,149016,372670.8864343819,377312.3060086367,373599.17034923285,377312.3060086367,2039-01-01 00:00:00,2064-07-06 23:00:00,2064-08-14 16:00:00,2065-01-16 09:00:00,2065-01-16 09:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
3,3,SouthCoast Wind 1 (Mayflower Wind) RI,122712,371462.72870022996,372670.8864343819,371704.36024706037,372670.8864343819,2036-01-01 00:00:00,2064-05-17 15:00:00,2064-05-27 17:00:00,2064-07-06 23:00:00,2064-07-06 23:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
4,4,Atlantic Shores Offshore Wind South 2,105192,358727.391110435,371462.72870022996,361274.458628394,371462.72870022996,2034-01-01 00:00:00,2062-12-04 00:00:00,2063-03-20 03:00:00,2064-05-17 15:00:00,2064-05-17 15:00:00,monopile,40,NJ,argentia,new_london,1350.0,False,2036-01-01 00:00:00
5,5,SouthCoast Wind 1 (Mayflower Wind) MA,122712,353167.4253617582,358727.391110435,354279.4185114936,358727.391110435,2036-01-01 00:00:00,2062-04-16 08:00:00,2062-06-01 16:00:00,2062-12-04 00:00:00,2062-12-04 00:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
6,6,Garden State Offshore Energy I,96432,342512.6777169477,353167.4253617582,344643.62724590977,353167.4253617582,2033-01-01 00:00:00,2061-01-27 09:00:00,2061-04-26 04:00:00,2062-04-16 08:00:00,2062-04-16 08:00:00,monopile,40,NJ,argentia,new_london,1080.0,False,2035-01-01 00:00:00
7,7,SouthCoast Wind Residual,113952,336801.65286185016,342512.6777169477,337943.8578328697,342512.6777169477,2035-01-01 00:00:00,2060-06-03 10:00:00,2060-07-21 00:00:00,2061-01-27 09:00:00,2061-01-27 09:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
8,8,Bay State Wind,87648,317912.2468465272,336801.65286185016,321690.1280495918,336801.65286185016,2032-01-01 00:00:00,2058-04-08 09:00:00,2058-09-12 19:00:00,2060-06-03 10:00:00,2060-06-03 10:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
9,9,Excelsior Wind (Vineyard Mid-Atlantic),105192,310083.6485972598,317912.2468465272,311649.36824711325,317912.2468465272,2034-01-01 00:00:00,2057-05-17 04:00:00,2057-07-21 10:00:00,2058-04-08 09:00:00,2058-04-08 09:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2036-01-01 00:00:00
10,10,Leading Light Wind,70128,205823.75587704673,310083.6485972598,226675.73442108935,310083.6485972598,2030-01-01 00:00:00,2045-06-25 00:00:00,2047-11-10 20:00:00,2057-05-17 04:00:00,2057-05-17 04:00:00,monopile,40,NJ,argentia,new_london,2400.0,False,2032-01-01 00:00:00
11,11,Avangrid GoME 2,140256,237258.68479275098,277928.60546141927,237258.68479275098,277928.60546141927,2038-01-01 00:00:00,2049-01-24 19:00:00,2049-01-24 19:00:00,2053-09-15 09:00:00,2053-09-15 09:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
12,12,Invenergy NE Offshore Wind GoME 2,140256,197546.6146642374,235098.68479275098,197546.6146642374,235098.68479275098,2038-01-01 00:00:00,2044-07-15 03:00:00,2044-07-15 03:00:00,2048-10-26 19:00:00,2048-10-26 19:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
13,13,Community Offshore Wind,96432,189127.04730889943,205823.75587704673,192466.3890225289,205823.75587704673,2033-01-01 00:00:00,2043-07-30 08:00:00,2043-12-16 11:00:00,2045-06-25 00:00:00,2045-06-25 00:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
14,14,Avangrid GoME 1,131496,161856.47494429408,195386.6146642374,161856.47494429408,195386.6146642374,2037-01-01 00:00:00,2040-06-19 01:00:00,2040-06-19 01:00:00,2044-04-16 03:00:00,2044-04-16 03:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
15,15,Atlantic Shores Offshore Wind South 1,61368,113988.12939537359,189127.04730889943,129015.91297807876,189127.04730889943,2029-01-01 00:00:00,2035-01-02 13:00:00,2036-09-19 16:00:00,2043-07-30 08:00:00,2043-07-30 08:00:00,monopile,40,NJ,argentia,new_london,1510.0,False,2031-01-01 00:00:00
16,16,Central Atlantic Lease Area C-1,140256,163030.22541998737,182392.53127323068,166902.68659063603,182392.53127323068,2038-01-01 00:00:00,2040-08-06 23:00:00,2041-01-15 07:00:00,2042-10-22 17:00:00,2042-10-22 17:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2040-01-01 00:00:00
17,17,Attentive Energy Two,149016,154713.40304992892,163030.22541998737,156376.76752394062,163030.22541998737,2039-01-01 00:00:00,2039-08-26 10:00:00,2039-11-03 17:00:00,2040-08-06 23:00:00,2040-08-06 23:00:00,monopile,40,NJ,euro_fab,sbmt,1342.0,True,2041-01-01 00:00:00
18,18,Invenergy NE Offshore Wind GoME 1,122712,122712.0,159696.47494429408,122712.0,159696.47494429408,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-03-21 01:00:00,2040-03-21 01:00:00,semisub,800,ME,salem,salem,1964.167782,False,2038-01-01 00:00:00
